! IC_gas_CF4 -> Energy
! 17F (4.5 MeV/u);    Settings on 17F;   Config: mm
! dp/p=100.00%
Energy (MeV/u)	17F[beam]
3.61727	-
3.61811	-
3.61896	-
3.6198	-
3.62064	-
3.62148	-
3.62233	-
3.62317	-
3.62401	-
3.62485	-
3.62569	-
3.62654	1.61992e+09
3.62738	4.17094e+09
3.62822	1.00935e+10
3.62906	1.77018e+10
3.62991	3.76632e+10
3.63075	6.69541e+10
3.63159	1.14904e+11
3.63243	2.02493e+11
3.63327	3.09902e+11
3.63412	5.36559e+11
3.63496	8.38749e+11
3.6358	1.29201e+12
3.63664	2.01847e+12
3.63749	2.88154e+12
3.63833	4.47061e+12
3.63917	6.44319e+12
3.64001	9.18278e+12
3.64085	1.31484e+13
3.6417	1.77271e+13
3.64254	2.50905e+13
3.64338	3.38054e+13
3.64422	4.5223e+13
3.64507	6.0431e+13
3.64591	7.75343e+13
3.64675	1.02328e+14
3.64759	1.30468e+14
3.64844	1.65302e+14
3.64928	2.08568e+14
3.65012	2.56052e+14
3.65096	3.18934e+14
3.6518	3.87787e+14
3.65265	4.6858e+14
3.65349	5.62766e+14
3.65433	6.63646e+14
3.65517	7.85933e+14
3.65602	9.15382e+14
3.65686	1.05916e+15
3.6577	1.21624e+15
3.65854	1.37998e+15
3.65938	1.56023e+15
3.66023	1.74416e+15
3.66107	1.93544e+15
3.66191	2.12915e+15
3.66275	2.32406e+15
3.6636	2.51362e+15
3.66444	2.69808e+15
3.66528	2.87235e+15
3.66612	3.02972e+15
3.66696	3.17864e+15
3.66781	3.29299e+15
3.66865	3.39333e+15
3.66949	3.46566e+15
3.67033	3.50673e+15
3.67118	3.53215e+15
3.67202	3.50892e+15
3.67286	3.46999e+15
3.6737	3.39965e+15
3.67455	3.30107e+15
3.67539	3.18835e+15
3.67623	3.04059e+15
3.67707	2.88421e+15
3.67791	2.71058e+15
3.67876	2.52641e+15
3.6796	2.33698e+15
3.68044	2.14174e+15
3.68128	1.9476e+15
3.68213	1.75565e+15
3.68297	1.57092e+15
3.68381	1.38979e+15
3.68465	1.22507e+15
3.68549	1.06701e+15
3.68634	9.2225e+14
3.68718	7.91868e+14
3.68802	6.68674e+14
3.68886	5.67007e+14
3.68971	4.72083e+14
3.69055	3.90646e+14
3.69139	3.21245e+14
3.69223	2.57862e+14
3.69307	2.10008e+14
3.69392	1.66406e+14
3.69476	1.3131e+14
3.6956	1.02964e+14
3.69644	7.79931e+13
3.69729	6.07754e+13
3.69813	4.54675e+13
3.69897	3.39792e+13
3.69981	2.5213e+13
3.70066	1.78078e+13
3.7015	1.32056e+13
3.70234	9.2201e+12
3.70318	6.46785e+12
3.70402	4.48665e+12
3.70487	2.89098e+12
3.70571	2.02476e+12
3.70655	1.2957e+12
3.70739	8.4098e+11
3.70824	5.37874e+11
3.70908	3.10575e+11
3.70992	2.02903e+11
3.71076	1.15106e+11
3.7116	6.70572e+10
3.71245	3.77116e+10
3.71329	1.77176e+10
3.71413	1.01008e+10
3.71497	4.17214e+09
3.71582	1.62e+09  
3.71666	-
3.7175	-
3.71834	-
3.71918	-
3.72003	-
3.72087	-
3.72171	-
3.72255	-
3.7234	-
3.72424	-
3.72508	-
