1.27926	-0.730811
0.887519	2.78947
0.927135	1.01293
0.948293	0.869605
1.23944	-5.50972
0.989347	-0.482398
1.03447	-0.754844
1.15463	-3.43441
1.07077	-1.79482
1.29191	-6.08124
1.22515	-5.23399
1.29714	-6.38009
0.922534	1.28641
0.952255	0.740053
1.20265	-4.6394
1.07166	-2.61049
1.0943	-0.601693
0.91237	3.2581
0.954983	1.90927
1.01307	0.119839
1.19444	-3.02973
1.0719	-0.993107
0.891566	2.95499
0.879953	3.60994
0.898546	3.87324
0.957024	2.21272
1.01187	1.03522
0.699836	7.28281
0.919038	3.25022
0.825487	4.59082
1.26958	-3.5927
0.998518	1.27002
1.08436	1.3098
1.31187	-6.83426
0.924325	0.994518
1.04408	-1.70692
1.06538	-2.11741
1.40582	-8.93133
1.20385	-4.5454
0.953821	0.553243
0.829157	4.15202
1.13046	-3.02559
1.05076	-1.57564
0.998786	-0.747539
1.30548	-6.61409
1.18575	-3.61489
1.1207	-3.1345
1.0382	-1.20055
1.13753	-2.28589
0.964848	1.88592
1.06233	-0.852066
1.10796	-1.13429
0.972372	0.967072
1.03311	-0.0243238
0.895193	2.78171
1.05531	-0.330357
1.01646	0.648697
1.24077	-3.32176
0.904934	2.81099
0.994105	0.528559
1.06384	-1.19441
0.705335	7.08957
0.687595	7.04372
0.951697	1.65357
0.723181	8.73318
0.692713	6.76553
1.00277	0.28312
0.92625	2.30661
1.02063	0.243746
0.825313	4.17335
1.15572	-3.16889
1.10986	-1.6206
0.843463	4.79182
1.05502	-0.188738
1.08944	-0.686822
1.0283	-0.537403
0.828488	4.57892
1.1892	-3.2143
1.04232	0.231449
1.06251	-0.87281
1.0933	-2.27222
1.18081	-3.99751
1.01299	-0.73874
1.09375	-2.04562
1.0196	-0.876161
0.977092	0.303033
1.1218	-3.242
1.15031	-3.6581
0.725258	6.93312
0.934292	0.605885
0.77801	5.2533
0.853784	2.77202
1.07402	-2.03385
0.739792	5.07097
1.01901	-1.09411
1.14812	-2.64171
0.95373	3.87043
1.14509	-2.05434
1.41558	-6.78032
1.0798	-0.108979
1.2054	-2.98717
1.24231	-4.2609
