53 6721
53 8591
50 4398
50 13525
65 10541
65 27489
65 36886
57 16995
57 50076
57 52204
52 7299
52 22816
52 26321
52 31775
52 37217
52 41956
52 43207
58 16799
58 29957
58 42005
58 52512
58 60001
58 80126
58 99694
58 107334
60 13751
60 35593
60 46082
60 77266
60 85230
60 89463
60 94218
60 95664
60 105430
60 105920
60 130899
60 136000
56 552
56 4855
56 10005
56 15114
56 25683
56 28956
56 32695
56 33275
56 40463
56 84559
56 89320
56 103547
56 119682
56 122665
56 126628
56 130911
56 131517
56 134324
56 141221
55 4642
55 6747
55 9406
55 15882
55 23896
55 29649
55 40318
55 49951
55 53114
55 55646
55 68735
55 69209
55 77242
55 94217
55 96074
55 101713
55 116885
55 133567
59 2756
59 29764
59 30190
59 51970
59 56819
59 67264
59 72092
59 81066
59 130443
59 133278
59 148588
59 155005
49 13740
49 22993
49 24323
49 29913
49 31425
49 37681
49 38356
49 39962
49 41486
49 45428
49 49303
49 49861
49 50208
49 54876
49 61606
49 63904
49 68414
49 69023
49 69611
49 69688
49 70373
49 71313
49 75934
49 76501
49 82933
49 83933
49 88314
49 93154
49 98498
49 110308
49 112777
49 115448
49 116094
49 117077
49 117470
49 122085
49 122790
49 128129
49 133217
49 138805
49 139741
49 142986
49 147517
49 148387
49 149697
49 150458
49 152951
49 156887
49 160282
61 174
61 19600
61 24622
61 37973
61 40719
61 50533
61 52408
61 74112
61 81555
61 93533
61 116378
61 138552
61 138875
61 140244
51 13707
51 16005
51 20282
51 28977
51 29218
51 51475
51 70058
51 70332
51 70578
51 76712
51 79156
51 88100
51 90722
51 118285
51 124096
51 130292
51 157342
54 9062
54 9783
54 24561
54 25876
54 27214
54 38964
54 48098
54 51187
54 54310
54 62138
54 63653
54 91066
54 110194
54 122779
54 123869
54 142349
54 169121
63 6212
63 7065
63 13067
63 18614
63 31244
63 40250
63 50308
63 67790
63 69385
63 73031
63 73229
63 87551
63 95385
63 109034
63 133536
63 146265
63 149038
63 152979
63 153512
63 154389
63 174114
63 177508
63 181276
63 197204
63 212640
63 217583
64 40617
64 41503
64 55076
64 57268
64 77276
64 79207
64 90968
64 95962
64 112673
64 125311
64 132435
64 139303
64 142939
64 156334
64 157473
64 158154
64 165660
64 182998
64 183097
64 197163
64 198487
64 198779
64 215727
64 216947
64 221575
64 225935
64 249058
