53 1299
53 4377
53 12667
53 12673
53 15075
53 15559
50 2511
50 3850
50 4377
50 6114
50 11746
50 12827
50 17549
50 20616
50 20750
50 26303
50 29408
50 31719
50 32523
65 26338
65 26767
65 27811
65 34596
65 38097
65 45702
57 9663
57 9985
57 10517
57 24244
57 24817
57 29869
57 47509
52 5216
52 10787
52 32313
52 37557
52 55105
52 66371
58 1239
58 6893
58 13028
58 31200
58 31723
58 41800
58 47179
58 47298
58 52845
58 59577
58 67399
58 72634
58 75714
58 76189
58 77640
58 79071
58 82840
58 86214
58 110874
58 113329
58 113726
58 131845
60 1119
60 1248
60 6382
60 8270
60 33128
60 35650
60 41960
60 42984
60 44316
60 49777
60 50324
60 66519
60 71486
60 78147
60 81497
60 85089
60 85805
60 88786
60 107397
60 115861
60 131124
60 134258
60 135594
60 139213
56 13934
56 14157
56 14245
56 16128
56 24880
56 33615
56 34834
56 40426
56 52722
56 85447
56 96288
56 104714
56 111032
56 122720
56 128415
56 144922
56 147060
55 4470
55 7719
55 9833
55 22352
55 29844
55 35172
55 36092
55 52621
55 57079
55 67005
55 68514
55 77729
55 78912
55 82075
55 99811
55 100218
55 110327
55 114587
55 121206
55 132171
55 139758
55 139838
55 141674
55 142847
59 6601
59 8371
59 9168
59 20088
59 30773
59 39244
59 43097
59 46989
59 48421
59 51690
59 63914
59 75609
59 80604
59 89869
59 93050
59 100090
59 116267
59 121372
59 123895
59 128516
59 142952
59 152111
59 156113
61 5672
61 31812
61 41169
61 42978
61 48844
61 55482
61 72394
61 77431
61 79424
61 87743
61 99691
61 138095
61 148983
61 151319
61 157397
49 2990
49 5833
49 7592
49 8830
49 9527
49 21243
49 29123
49 29333
49 31238
49 32703
49 46291
49 48075
49 48467
49 51616
49 55668
49 92775
49 101182
49 101287
49 101315
49 109389
49 111133
49 120747
49 122696
49 127870
49 128110
49 130257
49 132633
49 133908
49 151513
49 154953
51 4981
51 16026
51 19578
51 19844
51 24918
51 26469
51 36675
51 38320
51 40952
51 46346
51 53930
51 61705
51 65750
51 69684
51 82277
51 89397
51 92098
51 103566
51 103879
51 106812
51 111693
51 113460
51 124685
51 124823
51 125020
51 125042
51 140694
51 150191
51 153550
51 153739
51 154003
51 157758
54 1996
54 31345
54 36069
54 37731
54 45141
54 45644
54 48109
54 59154
54 64467
54 65214
54 70655
54 81880
54 95434
54 95542
54 106243
54 109163
54 118299
54 125986
54 127238
54 134229
54 135765
54 138469
54 166488
63 9254
63 15712
63 16611
63 34177
63 39614
63 39700
63 41840
63 42152
63 46609
63 56825
63 68917
63 69043
63 73162
63 78991
63 83824
63 97401
63 118244
63 121734
63 149531
63 152775
63 159534
63 159661
63 161720
63 165474
63 182519
63 191359
63 196537
63 199108
63 200808
63 203921
63 206154
63 206542
63 207879
63 214256
64 25619
64 29779
64 37216
64 39742
64 50418
64 63006
64 63370
64 65247
64 68440
64 76982
64 78082
64 89119
64 99183
64 100546
64 107906
64 110305
64 114536
64 123933
64 130732
64 153756
64 159204
64 159502
64 163470
64 169393
64 170326
64 171241
64 180668
64 199726
64 201167
64 208147
64 224220
64 228521
64 231001
64 231136
64 233673
64 250069
64 251113
64 251839
64 252858
