63 1419
63 3285
63 4165
63 4844
63 7119
63 8141
63 8895
64 4113
64 4824
64 5960
64 8636
65 1902
65 2232
65 2912
65 6808
65 8178
65 8914
65 10384
54 47
54 890
54 1653
54 1973
54 2213
54 8268
54 10459
52 126
52 1920
52 3722
52 5028
52 5841
52 7005
52 8478
52 9451
52 10007
59 104
59 2731
59 2831
59 5923
59 6328
59 6601
59 9387
60 3199
60 4599
60 9833
60 12216
60 12359
55 1483
55 5186
55 6009
55 7511
55 8264
50 406
50 1146
50 3850
50 6544
50 7073
50 7252
50 7408
50 8383
50 10296
56 217
56 1322
56 2287
56 3966
56 4913
56 6958
56 7415
56 11138
56 11697
53 417
53 1474
53 2418
53 2638
53 5076
53 5629
53 5946
53 7592
51 798
51 1800
51 2832
51 4659
51 6621
51 6696
51 7984
51 8240
51 9421
51 9641
61 512
61 1564
61 1615
61 2142
61 4569
61 8049
61 9360
61 10160
61 10251
61 10481
61 10762
61 12178
57 1273
57 2019
57 5507
57 6461
57 6474
57 7401
57 12316
58 4283
58 4379
58 4639
58 6613
58 7895
58 8237
58 8525
58 8862
49 1017
49 3494
49 4046
49 4266
49 4319
49 7181
49 8024
49 9283
53 12674
53 13798
53 14894
53 15488
53 15523
53 15711
63 10508
63 15501
63 16602
63 17642
63 18015
65 13340
65 18465
64 10632
64 11267
64 14821
64 15010
64 15466
64 17644
59 12364
59 12916
59 13888
59 13899
59 13927
59 15252
59 15372
59 15457
59 15948
59 16721
59 17168
59 17454
59 19553
59 21456
59 23671
54 11935
54 13380
54 14307
54 15741
54 16536
54 16923
54 17159
54 19456
54 20371
52 12060
52 12310
52 13348
52 14204
52 16156
52 21428
55 14182
55 16524
55 17875
55 21266
60 12768
60 13482
60 15680
60 17786
60 22965
56 12365
56 12676
56 13000
56 14092
56 16522
56 22520
56 23402
50 13229
50 14801
50 16448
50 19990
50 21145
61 14585
61 17130
61 18212
61 18818
61 19003
61 20455
61 21676
61 22440
61 22969
61 23833
61 24181
51 12970
51 13050
51 13871
51 14160
51 14341
51 14971
51 15277
51 15294
51 15791
51 16017
51 21800
51 23808
51 23851
58 14448
58 15008
58 16578
58 18867
58 21063
58 21531
58 21755
58 23617
57 13500
57 16885
57 18852
57 21729
57 21831
57 22183
57 22480
49 13084
49 14310
49 15624
49 17046
49 17334
49 17515
49 20067
49 20740
63 19413
63 22696
63 22770
63 24492
63 24934
63 27374
63 27389
64 19795
64 21300
64 22637
64 24556
64 26636
64 28516
64 28757
65 21735
65 22974
65 24522
65 25427
65 27055
65 29600
50 23989
50 26451
50 28325
