0.425    155    1.34701    0.952478
0.475    155    4.20953    1.71853
0.525    155    2.95268    1.47634
0.575    155    5.27591    1.9941
0.625    155    8.44137    2.54517
0.675    155    10.3572    2.87256
0.725    155    7.38368    2.46123
0.775    155    22.7093    4.3704
0.825    155    22.4335    4.39957
0.875    155    18.6263    4.06459
0.925    155    21.8876    4.46779
0.975    155    22.5164    4.59614
1.025    155    28.0668    5.21187
1.075    155    16.9738    4.11675
1.125    155    24.5496    5.01117
1.175    155    35.4433    6.07847
1.225    155    36.1012    6.19131
1.275    155    20.6657    4.74103
1.325    155    27.0661    5.52484
1.375    155    26.8893    5.60681
1.425    155    26.5984    5.67259
1.475    155    34.4602    6.51348
1.525    155    31.4961    6.29966
1.575    155    43.2435    7.53501
1.625    155    29.5419    6.29975
1.675    155    31.4558    6.55996
1.725    155    30.2708    6.45406
1.775    155    33.6267    6.86578
1.825    155    24.4423    5.93022
1.875    155    24.8966    6.03988
1.925    155    38.3986    7.68644
1.975    155    43.8969    8.30313
2.025    155    36.6479    7.64539
2.075    155    35.176    7.69064
2.125    155    32.0193    7.35236
2.175    155    19.0897    5.76012
2.225    155    42.125    8.61534
2.275    155    51.4484    9.74867
2.325    155    60.6368    10.7644
2.375    155    41.877    8.95498
2.425    155    29.1494    7.5388
2.475    155    33.6589    8.18826
2.525    155    24.4031    7.05951
2.575    155    52.0844    10.4541
2.625    155    37.0871    9.02681
2.675    155    50.55    10.5851
2.725    155    54.6718    10.9786
2.775    155    73.8916    13.3983
2.825    155    55.1289    11.2936
2.875    155    62.2958    12.0415
2.925    155    58.9069    11.835
2.975    155    62.3089    12.5432
3.025    155    77.3625    13.9924
3.075    155    68.9953    13.3881
3.125    155    67.2751    13.2709
3.175    155    59.2667    12.416
3.225    155    35.268    9.82286
3.275    155    19.1275    7.24219
3.325    155    27.6786    8.7699
3.375    155    11.2748    5.64497
3.425    155    11.2029    5.60788
