 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17O_CF4_60mbar.txt

 Ion = Oxygen [8] , Mass = 17 amu

 Target Density =  2.2000E-04 g/cm3 = 7.5272E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.574E-03  2.134E-02  264.59 um   119.05 um    84.58 um  
  11.00 keV   8.993E-03  2.101E-02  289.53 um   128.50 um    91.27 um  
  12.00 keV   9.392E-03  2.068E-02  314.58 um   137.83 um    97.90 um  
  13.00 keV   9.776E-03  2.035E-02  339.74 um   147.03 um   104.49 um  
  14.00 keV   1.014E-02  2.003E-02  365.01 um   156.12 um   111.04 um  
  15.00 keV   1.050E-02  1.972E-02  390.39 um   165.09 um   117.56 um  
  16.00 keV   1.085E-02  1.941E-02  415.86 um   173.95 um   124.04 um  
  17.00 keV   1.118E-02  1.912E-02  441.43 um   182.71 um   130.50 um  
  18.00 keV   1.150E-02  1.883E-02  467.09 um   191.36 um   136.93 um  
  20.00 keV   1.213E-02  1.828E-02  518.67 um   208.35 um   149.75 um  
  22.50 keV   1.286E-02  1.763E-02  583.55 um   229.04 um   165.67 um  
  25.00 keV   1.356E-02  1.703E-02  648.79 um   249.17 um   181.45 um  
  27.50 keV   1.422E-02  1.648E-02  714.32 um   268.76 um   197.09 um  
  30.00 keV   1.485E-02  1.597E-02  780.07 um   287.82 um   212.61 um  
  32.50 keV   1.546E-02  1.549E-02  845.97 um   306.38 um   227.98 um  
  35.00 keV   1.577E-02  1.504E-02  912.31 um   324.62 um   243.20 um  
