 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17O_mylar.txt.txt

 Ion = Oxygen [8] , Mass = 17 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   1.531E+03  3.292E+00    6.38 um     2374 A      2916 A   
   7.00 MeV   1.534E+03  3.092E+00    6.71 um     2426 A      2950 A   
   8.00 MeV   1.534E+03  2.763E+00    7.36 um     2610 A      3013 A   
   9.00 MeV   1.525E+03  2.500E+00    8.01 um     2781 A      3073 A   
  10.00 MeV   1.510E+03  2.286E+00    8.67 um     2945 A      3129 A   
  11.00 MeV   1.491E+03  2.108E+00    9.33 um     3103 A      3182 A   
  12.00 MeV   1.469E+03  1.957E+00   10.01 um     3257 A      3234 A   
  13.00 MeV   1.446E+03  1.827E+00   10.69 um     3408 A      3285 A   
  14.00 MeV   1.422E+03  1.714E+00   11.39 um     3557 A      3336 A   
  15.00 MeV   1.398E+03  1.616E+00   12.09 um     3705 A      3385 A   
  16.00 MeV   1.374E+03  1.528E+00   12.82 um     3852 A      3435 A   
  17.00 MeV   1.350E+03  1.451E+00   13.55 um     3999 A      3484 A   
  18.00 MeV   1.326E+03  1.381E+00   14.29 um     4145 A      3534 A   
  20.00 MeV   1.281E+03  1.261E+00   15.83 um     4694 A      3634 A   
  22.50 MeV   1.228E+03  1.138E+00   17.82 um     5494 A      3760 A   
  25.00 MeV   1.178E+03  1.039E+00   19.90 um     6247 A      3890 A   
  27.50 MeV   1.133E+03  9.560E-01   22.06 um     6973 A      4024 A   
  30.00 MeV   1.091E+03  8.861E-01   24.31 um     7680 A      4162 A   
  32.50 MeV   1.052E+03  8.263E-01   26.64 um     8374 A      4305 A   
  35.00 MeV   1.021E+03  7.744E-01   29.05 um     9058 A      4452 A   
  37.50 MeV   9.953E+02  7.290E-01   31.53 um     9729 A      4604 A   
  40.00 MeV   9.664E+02  6.889E-01   34.07 um     1.04 um     4759 A   
  45.00 MeV   9.090E+02  6.212E-01   39.40 um     1.29 um     5085 A   
  50.00 MeV   8.589E+02  5.662E-01   45.06 um     1.52 um     5431 A   
  55.00 MeV   8.146E+02  5.206E-01   51.04 um     1.74 um     5798 A   
  60.00 MeV   7.749E+02  4.821E-01   57.33 um     1.96 um     6184 A   
  65.00 MeV   7.393E+02  4.492E-01   63.93 um     2.17 um     6591 A   
  70.00 MeV   7.069E+02  4.207E-01   70.84 um     2.38 um     7018 A   
  80.00 MeV   6.504E+02  3.737E-01   85.59 um     3.17 um     7930 A   
  90.00 MeV   6.026E+02  3.366E-01  101.56 um     3.90 um     8920 A   
 100.00 MeV   5.616E+02  3.065E-01  118.74 um     4.60 um     9984 A   
 110.00 MeV   5.260E+02  2.816E-01  137.14 um     5.29 um     1.11 um  
 120.00 MeV   4.948E+02  2.605E-01  156.74 um     5.98 um     1.23 um  
 130.00 MeV   4.672E+02  2.426E-01  177.53 um     6.67 um     1.36 um  
 140.00 MeV   4.427E+02  2.270E-01  199.51 um     7.37 um     1.50 um  
 150.00 MeV   4.207E+02  2.134E-01  222.68 um     8.07 um     1.64 um  
 160.00 MeV   4.010E+02  2.015E-01  247.02 um     8.78 um     1.79 um  
 170.00 MeV   3.831E+02  1.908E-01  272.53 um     9.50 um     1.94 um  
 180.00 MeV   3.669E+02  1.813E-01  299.19 um    10.23 um     2.11 um  
 200.00 MeV   3.385E+02  1.649E-01  355.93 um    13.02 um     2.45 um  
 225.00 MeV   3.092E+02  1.484E-01  433.20 um    17.02 um     2.92 um  
 250.00 MeV   2.850E+02  1.349E-01  517.42 um    20.79 um     3.43 um  
 275.00 MeV   2.646E+02  1.238E-01  608.46 um    24.48 um     3.97 um  
