 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17F_CF4_60mbar.txt

 Ion = Fluorine [9] , Mass = 17 amu

 Target Density =  2.2000E-04 g/cm3 = 7.5272E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   1.904E-01  9.652E-04   31.21 mm     2.26 mm     2.97 mm  
   3.25 MeV   1.968E-01  9.046E-04   32.49 mm     2.27 mm     3.00 mm  
   3.50 MeV   2.022E-01  8.516E-04   33.73 mm     2.29 mm     3.02 mm  
   3.75 MeV   2.068E-01  8.050E-04   34.94 mm     2.30 mm     3.05 mm  
   4.00 MeV   2.106E-01  7.636E-04   36.13 mm     2.31 mm     3.07 mm  
   4.50 MeV   2.165E-01  6.932E-04   38.46 mm     2.35 mm     3.12 mm  
   5.00 MeV   2.204E-01  6.355E-04   40.73 mm     2.38 mm     3.15 mm  
   5.50 MeV   2.228E-01  5.873E-04   42.98 mm     2.41 mm     3.19 mm  
   6.00 MeV   2.241E-01  5.464E-04   45.20 mm     2.44 mm     3.22 mm  
   6.50 MeV   2.247E-01  5.111E-04   47.42 mm     2.47 mm     3.25 mm  
   7.00 MeV   2.247E-01  4.804E-04   49.64 mm     2.50 mm     3.28 mm  
   8.00 MeV   2.234E-01  4.296E-04   54.08 mm     2.59 mm     3.33 mm  
   9.00 MeV   2.213E-01  3.891E-04   58.57 mm     2.68 mm     3.38 mm  
  10.00 MeV   2.186E-01  3.560E-04   63.10 mm     2.77 mm     3.42 mm  
  11.00 MeV   2.158E-01  3.284E-04   67.69 mm     2.85 mm     3.46 mm  
  12.00 MeV   2.128E-01  3.050E-04   72.35 mm     2.94 mm     3.51 mm  
  13.00 MeV   2.099E-01  2.849E-04   77.07 mm     3.02 mm     3.55 mm  
  14.00 MeV   2.070E-01  2.675E-04   81.86 mm     3.11 mm     3.59 mm  
  15.00 MeV   2.042E-01  2.522E-04   86.71 mm     3.19 mm     3.63 mm  
  16.00 MeV   2.014E-01  2.386E-04   91.64 mm     3.28 mm     3.67 mm  
