 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\20Na_mylar.txt

 Ion = Sodium [11] , Mass = 20 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   2.117E+03  6.784E+00    5.53 um     2506 A      3262 A   
   7.00 MeV   2.153E+03  6.380E+00    5.76 um     2535 A      3291 A   
   8.00 MeV   2.206E+03  5.709E+00    6.22 um     2630 A      3343 A   
   9.00 MeV   2.239E+03  5.174E+00    6.67 um     2716 A      3389 A   
  10.00 MeV   2.258E+03  4.736E+00    7.11 um     2798 A      3431 A   
  11.00 MeV   2.265E+03  4.371E+00    7.55 um     2876 A      3470 A   
  12.00 MeV   2.263E+03  4.062E+00    7.99 um     2951 A      3506 A   
  13.00 MeV   2.254E+03  3.796E+00    8.43 um     3024 A      3540 A   
  14.00 MeV   2.240E+03  3.565E+00    8.88 um     3097 A      3573 A   
  15.00 MeV   2.222E+03  3.362E+00    9.32 um     3168 A      3605 A   
  16.00 MeV   2.201E+03  3.182E+00    9.77 um     3238 A      3636 A   
  17.00 MeV   2.179E+03  3.022E+00   10.23 um     3309 A      3666 A   
  18.00 MeV   2.155E+03  2.878E+00   10.69 um     3379 A      3696 A   
  20.00 MeV   2.105E+03  2.630E+00   11.63 um     3642 A      3754 A   
  22.50 MeV   2.041E+03  2.377E+00   12.83 um     4034 A      3826 A   
  25.00 MeV   1.979E+03  2.171E+00   14.08 um     4414 A      3897 A   
  27.50 MeV   1.918E+03  2.000E+00   15.36 um     4784 A      3968 A   
  30.00 MeV   1.861E+03  1.855E+00   16.68 um     5148 A      4039 A   
  32.50 MeV   1.807E+03  1.731E+00   18.04 um     5508 A      4112 A   
  35.00 MeV   1.755E+03  1.623E+00   19.44 um     5866 A      4187 A   
  37.50 MeV   1.707E+03  1.529E+00   20.89 um     6222 A      4262 A   
