 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Magnesium in  C- F (gas).txt

 Ion = Magnesium [12] , Mass = 20 amu

 Target Density =  2.5000E-04 g/cm3 = 8.5537E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   2.372E-01  2.117E-03   27.23 mm     2.49 mm     3.17 mm  
   3.25 MeV   2.487E-01  1.987E-03   28.25 mm     2.50 mm     3.21 mm  
   3.50 MeV   2.592E-01  1.873E-03   29.22 mm     2.52 mm     3.23 mm  
   3.75 MeV   2.687E-01  1.772E-03   30.15 mm     2.53 mm     3.26 mm  
   4.00 MeV   2.774E-01  1.682E-03   31.05 mm     2.54 mm     3.28 mm  
   4.50 MeV   2.924E-01  1.530E-03   32.79 mm     2.56 mm     3.32 mm  
   5.00 MeV   3.048E-01  1.404E-03   34.45 mm     2.58 mm     3.36 mm  
   5.50 MeV   3.150E-01  1.299E-03   36.05 mm     2.60 mm     3.39 mm  
   6.00 MeV   3.234E-01  1.210E-03   37.60 mm     2.62 mm     3.42 mm  
   6.50 MeV   3.302E-01  1.133E-03   39.12 mm     2.63 mm     3.44 mm  
   7.00 MeV   3.359E-01  1.066E-03   40.61 mm     2.65 mm     3.47 mm  
   8.00 MeV   3.442E-01  9.548E-04   43.54 mm     2.69 mm     3.51 mm  
   9.00 MeV   3.496E-01  8.658E-04   46.40 mm     2.73 mm     3.54 mm  
  10.00 MeV   3.530E-01  7.931E-04   49.24 mm     2.77 mm     3.57 mm  
  11.00 MeV   3.548E-01  7.323E-04   52.05 mm     2.81 mm     3.60 mm  
  12.00 MeV   3.555E-01  6.808E-04   54.86 mm     2.84 mm     3.63 mm  
  13.00 MeV   3.554E-01  6.365E-04   57.66 mm     2.88 mm     3.66 mm  
  14.00 MeV   3.547E-01  5.979E-04   60.47 mm     2.91 mm     3.68 mm  
  15.00 MeV   3.534E-01  5.641E-04   63.29 mm     2.94 mm     3.70 mm  
  16.00 MeV   3.518E-01  5.341E-04   66.12 mm     2.97 mm     3.73 mm  
  17.00 MeV   3.499E-01  5.074E-04   68.96 mm     3.01 mm     3.75 mm  
  18.00 MeV   3.478E-01  4.833E-04   71.82 mm     3.04 mm     3.77 mm  
  20.00 MeV   3.430E-01  4.419E-04   77.60 mm     3.16 mm     3.81 mm  
  22.50 MeV   3.364E-01  3.996E-04   84.95 mm     3.34 mm     3.86 mm  
  25.00 MeV   3.294E-01  3.652E-04   92.44 mm     3.51 mm     3.91 mm  
  27.50 MeV   3.223E-01  3.365E-04  100.10 mm     3.69 mm     3.96 mm  
  30.00 MeV   3.152E-01  3.122E-04  107.94 mm     3.86 mm     4.00 mm  
  32.50 MeV   3.081E-01  2.914E-04  115.95 mm     4.03 mm     4.05 mm  
  35.00 MeV   3.011E-01  2.734E-04  124.15 mm     4.21 mm     4.10 mm  
  37.50 MeV   2.942E-01  2.576E-04  132.54 mm     4.38 mm     4.15 mm  
  40.00 MeV   2.876E-01  2.436E-04  141.13 mm     4.56 mm     4.20 mm  
