 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17O_CF4_70mbar.txt

 Ion = Oxygen [8] , Mass = 17 amu

 Target Density =  2.5000E-04 g/cm3 = 8.5537E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   1.880E-01  8.883E-04   31.20 mm     2.12 mm     2.83 mm  
   3.25 MeV   1.937E-01  8.322E-04   32.50 mm     2.14 mm     2.86 mm  
   3.50 MeV   1.984E-01  7.833E-04   33.76 mm     2.15 mm     2.89 mm  
   3.75 MeV   2.024E-01  7.402E-04   35.00 mm     2.17 mm     2.91 mm  
   4.00 MeV   2.058E-01  7.019E-04   36.22 mm     2.18 mm     2.94 mm  
   4.50 MeV   2.109E-01  6.369E-04   38.60 mm     2.22 mm     2.98 mm  
   5.00 MeV   2.143E-01  5.836E-04   40.94 mm     2.25 mm     3.02 mm  
   5.50 MeV   2.165E-01  5.391E-04   43.25 mm     2.29 mm     3.05 mm  
   6.00 MeV   2.179E-01  5.014E-04   45.54 mm     2.32 mm     3.08 mm  
   6.50 MeV   2.185E-01  4.689E-04   47.82 mm     2.35 mm     3.11 mm  
   7.00 MeV   2.186E-01  4.407E-04   50.10 mm     2.38 mm     3.14 mm  
   8.00 MeV   2.178E-01  3.938E-04   54.67 mm     2.48 mm     3.19 mm  
   9.00 MeV   2.162E-01  3.565E-04   59.26 mm     2.57 mm     3.24 mm  
  10.00 MeV   2.140E-01  3.261E-04   63.90 mm     2.67 mm     3.28 mm  
  11.00 MeV   2.115E-01  3.007E-04   68.59 mm     2.76 mm     3.33 mm  
  12.00 MeV   2.089E-01  2.792E-04   73.34 mm     2.85 mm     3.37 mm  
  13.00 MeV   2.061E-01  2.608E-04   78.14 mm     2.94 mm     3.41 mm  
