 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17O_CF4_80mbar.txt

 Ion = Oxygen [8] , Mass = 17 amu

 Target Density =  2.9000E-04 g/cm3 = 9.9223E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   2.181E-01  1.030E-03   26.90 mm     1.83 mm     2.44 mm  
   3.25 MeV   2.246E-01  9.654E-04   28.02 mm     1.84 mm     2.47 mm  
   3.50 MeV   2.302E-01  9.086E-04   29.11 mm     1.86 mm     2.49 mm  
   3.75 MeV   2.348E-01  8.586E-04   30.17 mm     1.87 mm     2.51 mm  
   4.00 MeV   2.387E-01  8.142E-04   31.22 mm     1.88 mm     2.53 mm  
   4.50 MeV   2.446E-01  7.388E-04   33.28 mm     1.91 mm     2.57 mm  
   5.00 MeV   2.486E-01  6.770E-04   35.29 mm     1.94 mm     2.60 mm  
   5.50 MeV   2.512E-01  6.254E-04   37.28 mm     1.97 mm     2.63 mm  
   6.00 MeV   2.527E-01  5.816E-04   39.26 mm     2.00 mm     2.66 mm  
   6.50 MeV   2.535E-01  5.439E-04   41.23 mm     2.02 mm     2.68 mm  
   7.00 MeV   2.536E-01  5.112E-04   43.19 mm     2.05 mm     2.71 mm  
   8.00 MeV   2.527E-01  4.568E-04   47.13 mm     2.14 mm     2.75 mm  
   9.00 MeV   2.508E-01  4.136E-04   51.09 mm     2.22 mm     2.79 mm  
  10.00 MeV   2.482E-01  3.783E-04   55.09 mm     2.30 mm     2.83 mm  
  11.00 MeV   2.453E-01  3.488E-04   59.13 mm     2.38 mm     2.87 mm  
  12.00 MeV   2.423E-01  3.239E-04   63.22 mm     2.46 mm     2.91 mm  
  13.00 MeV   2.391E-01  3.025E-04   67.37 mm     2.54 mm     2.94 mm  
  14.00 MeV   2.359E-01  2.840E-04   71.57 mm     2.61 mm     2.98 mm  
  15.00 MeV   2.327E-01  2.677E-04   75.83 mm     2.69 mm     3.01 mm  
  16.00 MeV   2.296E-01  2.532E-04   80.15 mm     2.77 mm     3.04 mm  
  17.00 MeV   2.264E-01  2.404E-04   84.53 mm     2.84 mm     3.08 mm  
  18.00 MeV   2.233E-01  2.288E-04   88.97 mm     2.92 mm     3.11 mm  
  20.00 MeV   2.172E-01  2.090E-04   98.04 mm     3.20 mm     3.18 mm  
  22.50 MeV   2.099E-01  1.887E-04  109.73 mm     3.62 mm     3.26 mm  
  25.00 MeV   2.029E-01  1.723E-04  121.83 mm     4.02 mm     3.35 mm  
  27.50 MeV   1.962E-01  1.586E-04  134.35 mm     4.41 mm     3.43 mm  
  30.00 MeV   1.899E-01  1.470E-04  147.29 mm     4.79 mm     3.52 mm  
  32.50 MeV   1.838E-01  1.371E-04  160.66 mm     5.16 mm     3.61 mm  
  35.00 MeV   1.786E-01  1.285E-04  174.44 mm     5.53 mm     3.71 mm  
  37.50 MeV   1.737E-01  1.210E-04  188.62 mm     5.90 mm     3.81 mm  
  40.00 MeV   1.682E-01  1.144E-04  203.24 mm     6.27 mm     3.91 mm  
  45.00 MeV   1.586E-01  1.032E-04  233.84 mm     7.64 mm     4.11 mm  
  50.00 MeV   1.502E-01  9.404E-05  266.22 mm     8.93 mm     4.34 mm  
  55.00 MeV   1.426E-01  8.648E-05  300.38 mm    10.18 mm     4.57 mm  
  60.00 MeV   1.356E-01  8.010E-05  336.32 mm    11.40 mm     4.83 mm  
  65.00 MeV   1.293E-01  7.464E-05  374.07 mm    12.62 mm     5.09 mm  
  70.00 MeV   1.235E-01  6.991E-05  413.63 mm    13.83 mm     5.37 mm  
  80.00 MeV   1.133E-01  6.212E-05  498.15 mm    18.33 mm     5.97 mm  
  90.00 MeV   1.048E-01  5.596E-05  589.89 mm    22.50 mm     6.63 mm  
 100.00 MeV   9.754E-02  5.097E-05  688.77 mm    26.54 mm     7.35 mm  
 110.00 MeV   9.132E-02  4.683E-05  794.70 mm    30.53 mm     8.12 mm  
 120.00 MeV   8.593E-02  4.334E-05  907.56 mm    34.50 mm     8.95 mm  
 130.00 MeV   8.122E-02  4.035E-05    1.03 m     38.49 mm     9.83 mm  
 140.00 MeV   7.706E-02  3.777E-05    1.15 m     42.49 mm    10.75 mm  
 150.00 MeV   7.337E-02  3.551E-05    1.29 m     46.53 mm    11.73 mm  
 160.00 MeV   7.006E-02  3.352E-05    1.43 m     50.60 mm    12.76 mm  
 170.00 MeV   6.708E-02  3.175E-05    1.57 m     54.71 mm    13.83 mm  
 180.00 MeV   6.436E-02  3.017E-05    1.72 m     58.86 mm    14.94 mm  
 200.00 MeV   5.960E-02  2.745E-05    2.05 m     74.63 mm    17.31 mm  
 225.00 MeV   5.461E-02  2.470E-05    2.48 m     97.17 mm    20.51 mm  
 250.00 MeV   5.042E-02  2.247E-05    2.96 m    118.41 mm    23.97 mm  
 275.00 MeV   4.681E-02  2.062E-05    3.48 m    139.16 mm    27.69 mm  
 300.00 MeV   4.368E-02  1.907E-05    4.03 m    159.81 mm    31.66 mm  
 325.00 MeV   4.092E-02  1.774E-05    4.62 m    180.57 mm    35.90 mm  
 350.00 MeV   3.849E-02  1.659E-05    5.25 m    201.56 mm    40.39 mm  
 375.00 MeV   3.634E-02  1.559E-05    5.92 m    222.86 mm    45.15 mm  
 400.00 MeV   3.444E-02  1.471E-05    6.62 m    244.48 mm    50.16 mm  
 450.00 MeV   3.132E-02  1.322E-05    8.15 m    326.27 mm    60.94 mm  
 500.00 MeV   2.897E-02  1.202E-05    9.81 m    402.45 mm    72.64 mm  
 550.00 MeV   2.690E-02  1.103E-05   11.60 m    476.07 mm    85.23 mm  
 600.00 MeV   2.508E-02  1.019E-05   13.52 m    548.96 mm    98.68 mm  
 650.00 MeV   2.352E-02  9.475E-06   15.58 m    621.96 mm   113.01 mm  
 700.00 MeV   2.217E-02  8.858E-06   17.77 m    695.41 mm   128.19 mm  
 800.00 MeV   1.993E-02  7.845E-06   22.53 m    968.98 mm   161.05 mm  
 900.00 MeV   1.815E-02  7.048E-06   27.79 m      1.22 m    197.13 mm  
   1.00 GeV   1.671E-02  6.403E-06   33.53 m      1.47 m    236.31 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  3.4484E+01                keV / (ug/cm2) 
  3.4484E+01                MeV / (mg/cm2) 
  3.4484E+04                keV / (mg/cm2) 
  1.0078E+03                 eV / (1E15 atoms/cm2)
  1.0287E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
