 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17F_iC4H10_6mbar.txt

 Ion = Fluorine [9] , Mass = 17 amu

 Target Density =  1.4000E-05 g/cm3 = 2.0308E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.50 MeV   2.074E-02  1.215E-04  214.15 mm     9.45 mm    11.76 mm  
   2.75 MeV   2.185E-02  1.124E-04  225.80 mm     9.65 mm    11.96 mm  
   3.00 MeV   2.281E-02  1.048E-04  236.92 mm     9.83 mm    12.13 mm  
   3.25 MeV   2.365E-02  9.813E-05  247.61 mm     9.98 mm    12.29 mm  
   3.50 MeV   2.437E-02  9.235E-05  257.97 mm    10.12 mm    12.43 mm  
   3.75 MeV   2.498E-02  8.726E-05  268.05 mm    10.26 mm    12.56 mm  
   4.00 MeV   2.549E-02  8.274E-05  277.91 mm    10.38 mm    12.68 mm  
   4.50 MeV   2.625E-02  7.507E-05  297.15 mm    10.78 mm    12.89 mm  
   5.00 MeV   2.675E-02  6.879E-05  315.95 mm    11.15 mm    13.09 mm  
   5.50 MeV   2.704E-02  6.354E-05  334.47 mm    11.50 mm    13.26 mm  
   6.00 MeV   2.717E-02  5.909E-05  352.86 mm    11.82 mm    13.42 mm  
   6.50 MeV   2.719E-02  5.525E-05  371.20 mm    12.14 mm    13.58 mm  
   7.00 MeV   2.713E-02  5.192E-05  389.56 mm    12.44 mm    13.72 mm  
   8.00 MeV   2.682E-02  4.640E-05  426.55 mm    13.55 mm    13.99 mm  
   9.00 MeV   2.638E-02  4.200E-05  464.07 mm    14.60 mm    14.24 mm  
  10.00 MeV   2.587E-02  3.841E-05  502.27 mm    15.62 mm    14.48 mm  
  11.00 MeV   2.533E-02  3.542E-05  541.27 mm    16.61 mm    14.72 mm  
  12.00 MeV   2.478E-02  3.289E-05  581.13 mm    17.58 mm    14.95 mm  
  13.00 MeV   2.423E-02  3.072E-05  621.87 mm    18.54 mm    15.18 mm  
  14.00 MeV   2.370E-02  2.883E-05  663.54 mm    19.49 mm    15.40 mm  
  15.00 MeV   2.318E-02  2.717E-05  706.16 mm    20.44 mm    15.63 mm  
  16.00 MeV   2.267E-02  2.571E-05  749.72 mm    21.38 mm    15.85 mm  
  17.00 MeV   2.219E-02  2.440E-05  794.25 mm    22.33 mm    16.08 mm  
  18.00 MeV   2.172E-02  2.323E-05  839.75 mm    23.27 mm    16.31 mm  
  20.00 MeV   2.084E-02  2.121E-05  933.67 mm    26.86 mm    16.78 mm  
  22.50 MeV   1.983E-02  1.916E-05    1.06 m     32.06 mm    17.39 mm  
  25.00 MeV   1.893E-02  1.748E-05    1.19 m     36.95 mm    18.02 mm  
  27.50 MeV   1.810E-02  1.609E-05    1.32 m     41.66 mm    18.67 mm  
  30.00 MeV   1.735E-02  1.492E-05    1.46 m     46.25 mm    19.36 mm  
  32.50 MeV   1.667E-02  1.392E-05    1.61 m     50.77 mm    20.08 mm  
  35.00 MeV   1.609E-02  1.304E-05    1.76 m     55.23 mm    20.82 mm  
  37.50 MeV   1.553E-02  1.228E-05    1.92 m     59.65 mm    21.60 mm  
  40.00 MeV   1.493E-02  1.161E-05    2.08 m     64.07 mm    22.41 mm  
  45.00 MeV   1.400E-02  1.047E-05    2.43 m     80.71 mm    24.13 mm  
  50.00 MeV   1.324E-02  9.541E-06    2.80 m     96.08 mm    25.98 mm  
  55.00 MeV   1.257E-02  8.774E-06    3.18 m    110.73 mm    27.94 mm  
  60.00 MeV   1.197E-02  8.126E-06    3.59 m    124.94 mm    30.01 mm  
  65.00 MeV   1.143E-02  7.572E-06    4.02 m    138.90 mm    32.20 mm  
  70.00 MeV   1.094E-02  7.092E-06    4.46 m    152.72 mm    34.49 mm  
  80.00 MeV   1.009E-02  6.301E-06    5.42 m    203.77 mm    39.37 mm  
  90.00 MeV   9.362E-03  5.676E-06    6.44 m    250.60 mm    44.66 mm  
 100.00 MeV   8.731E-03  5.169E-06    7.55 m    295.64 mm    50.33 mm  
 110.00 MeV   8.176E-03  4.749E-06    8.73 m    339.96 mm    56.37 mm  
 120.00 MeV   7.685E-03  4.395E-06    9.99 m    384.16 mm    62.80 mm  
 130.00 MeV   7.246E-03  4.092E-06   11.33 m    428.62 mm    69.60 mm  
 140.00 MeV   6.850E-03  3.830E-06   12.75 m    473.56 mm    76.77 mm  
 150.00 MeV   6.493E-03  3.602E-06   14.25 m    519.15 mm    84.33 mm  
 160.00 MeV   6.168E-03  3.400E-06   15.83 m    565.50 mm    92.27 mm  
 170.00 MeV   5.872E-03  3.220E-06   17.49 m    612.69 mm   100.60 mm  
 180.00 MeV   5.601E-03  3.059E-06   19.24 m    660.79 mm   109.32 mm  
 200.00 MeV   5.125E-03  2.784E-06   22.97 m    846.49 mm   127.95 mm  
 225.00 MeV   4.631E-03  2.504E-06   28.10 m      1.12 m    153.49 mm  
 250.00 MeV   4.225E-03  2.278E-06   33.75 m      1.37 m    181.54 mm  
 275.00 MeV   3.888E-03  2.091E-06   39.92 m      1.63 m    212.11 mm  
 300.00 MeV   3.606E-03  1.933E-06   46.60 m      1.88 m    245.16 mm  
 325.00 MeV   3.368E-03  1.799E-06   53.77 m      2.14 m    280.64 mm  
 350.00 MeV   3.166E-03  1.682E-06   61.42 m      2.40 m    318.49 mm  
 375.00 MeV   2.993E-03  1.581E-06   69.54 m      2.66 m    358.60 mm  
 400.00 MeV   2.843E-03  1.491E-06   78.11 m      2.93 m    400.91 mm  
 450.00 MeV   2.597E-03  1.340E-06   96.51 m      3.92 m    491.71 mm  
 500.00 MeV   2.401E-03  1.219E-06  116.53 m      4.84 m    590.18 mm  
 550.00 MeV   2.225E-03  1.118E-06  138.16 m      5.73 m    696.10 mm  
 600.00 MeV   2.072E-03  1.033E-06  161.45 m      6.61 m    809.58 mm  
 650.00 MeV   1.940E-03  9.604E-07  186.39 m      7.49 m    930.57 mm  
 700.00 MeV   1.827E-03  8.979E-07  212.94 m      8.39 m      1.06 m   
 800.00 MeV   1.639E-03  7.952E-07  270.75 m     11.72 m      1.34 m   
 900.00 MeV   1.490E-03  7.143E-07  334.74 m     14.82 m      1.64 m   
   1.00 GeV   1.369E-03  6.489E-07  404.75 m     17.83 m      1.98 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  7.1431E+02                keV / (ug/cm2) 
  7.1431E+02                MeV / (mg/cm2) 
  7.1431E+05                keV / (mg/cm2) 
  4.9243E+03                 eV / (1E15 atoms/cm2)
  8.2044E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
