============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(76.5 MeV) ==> Mylar_IC+CF4_IC+Mylar_CF( 45.6 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  263  8 .6058787E+08   4561630E+02 -.1208E+06  .4413E+06   .9999896  .0008761  .0044771
T  264  8 .6077758E+08   4561630E+02 -.1076E+07 -.1892E+07   .9999292 -.0096656 -.0069349
T  265  8 .6060178E+08   4561630E+02 -.1137E+07 -.9796E+06   .9999824 -.0019146 -.0056120
T  266  8 .6084822E+08   4561631E+02  .7973E+06 -.3341E+05   .9999838  .0056513  .0007414
T  267  8 .6087545E+08   4561630E+02  .7274E+06 -.1532E+07   .9999603  .0053031 -.0071560
T  268  8 .6073463E+08   4561630E+02 -.1011E+07  .4089E+07   .9999236 -.0036106  .0118242
T  269  8 .6061651E+08   4561630E+02 -.7053E+06  .6175E+06   .9999956 -.0012465  .0026764
T  270  8 .6089947E+08   4561630E+02 -.8543E+06  .8436E+06   .9999968 -.0014104  .0020790
T  271  8 .6115811E+08   4561630E+02 -.9268E+06  .3073E+07   .9999853 -.0004287  .0054031
T  272  8 .6086014E+08   4561630E+02  .2716E+07  .3442E+06   .9999189  .0105540  .0071341
T  273  8 .6077785E+08   4561631E+02 -.2327E+07  .6007E+05   .9999805 -.0057453 -.0024493
T  274  8 .6072265E+08   4561631E+02  .3074E+06 -.1609E+06   .9999986  .0016983  .0000746
T  275  8 .6102994E+08   4561631E+02 -.1917E+07 -.3199E+07   .9999299 -.0066986 -.0097589
T  276  8 .6055952E+08   4561630E+02 -.1532E+07 -.3233E+06   .9999290 -.0111327 -.0042387
T  277  8 .6083157E+08   4561630E+02  .1072E+07 -.1226E+07   .9999812  .0056820 -.0023091
T  278  8 .6097350E+08   4561630E+02  .4542E+06 -.3033E+06   .9999975 -.0012502 -.0018485
T  279  8 .6064037E+08   4561630E+02  .1478E+07 -.6470E+06   .9999854  .0053759  .0005580
T  280  8 .6089152E+08   4561631E+02  .1014E+07  .1510E+07   .9999914  .0029360  .0029224
T  281  8 .6087245E+08   4561630E+02 -.1677E+07  .1167E+07   .9999913 -.0041544  .0004323
T  282  8 .6094150E+08   4561631E+02 -.1599E+07 -.4905E+06   .9999881 -.0048679  .0004383
T  283  8 .6082685E+08   4561630E+02  .2186E+06  .1360E+07   .9999961 -.0018244  .0021278
T  284  8 .6079179E+08   4561631E+02 -.4018E+07 -.1123E+07   .9999365 -.0112551 -.0005623
T  285  8 .6080206E+08   4561631E+02 -.6425E+06  .1821E+06   .9999944 -.0031618 -.0010807
T  286  8 .6068304E+08   4561630E+02 -.1115E+07 -.8649E+06   .9999923 -.0023000 -.0031865
T  287  8 .6078386E+08   4561630E+02 -.1197E+07 -.7574E+06   .9999902 -.0042426 -.0012639
T  288  8 .6093216E+08   4561631E+02  .8621E+06  .4968E+06   .9999951  .0005898  .0030686
T  289  8 .6076568E+08   4561630E+02 -.3714E+07 -.1194E+07   .9999549 -.0060925 -.0072835
T  290  8 .6068830E+08   4561630E+02  .8180E+06 -.4673E+06   .9999938  .0022786 -.0026960
T  291  8 .6081570E+08   4561630E+02  .9628E+06 -.4798E+06   .9999905  .0039725 -.0017962
T  292  8 .6076994E+08   4561630E+02  .1050E+07  .2379E+05   .9999967  .0012318 -.0022552
T  293  8 .6087339E+08   4561630E+02 -.7740E+06 -.2858E+07   .9999592 -.0025088 -.0086758
T  294  8 .6089740E+08   4561630E+02  .2106E+07  .7174E+06   .9999951  .0031300 -.0000052
T  295  8 .6086956E+08   4561630E+02 -.3537E+06 -.6199E+05   .9999953 -.0017902  .0025008
T  296  8 .6094675E+08   4561630E+02 -.1007E+07 -.1772E+06   .9999861 -.0026226  .0045707
T  297  8 .6093013E+08   4561630E+02 -.1298E+07 -.1968E+07   .9999607 -.0049339 -.0073719
T  298  8 .6090757E+08   4561631E+02 -.4394E+05  .4936E+06   .9999990  .0007898  .0011539
T  299  8 .6070340E+08   4561630E+02  .7442E+06  .1760E+06   .9999956  .0029542 -.0003135
T  300  8 .6082301E+08   4561630E+02  .4869E+06 -.9995E+06   .9999744  .0043796 -.0056539
T  301  8 .6078901E+08   4561630E+02  .4833E+06 -.7448E+06   .9999963  .0015024 -.0022505
T  302  8 .6084693E+08   4561631E+02  .6123E+07 -.2777E+07   .9998880  .0145425 -.0035266
T  303  8 .6087775E+08   4561631E+02 -.1339E+06 -.1926E+07   .9999773  .0017354 -.0065080
T  304  8 .6092843E+08   4561631E+02  .4945E+07 -.7348E+06   .9999199  .0123325 -.0028590
T  305  8 .6071876E+08   4561630E+02  .7400E+05  .1459E+07   .9999883 -.0044281 -.0019406
T  306  8 .6095536E+08   4561630E+02  .1166E+07  .2608E+06   .9999951  .0029803 -.0009955
T  307  8 .6115420E+08   4561631E+02  .7177E+06 -.8155E+06   .9999982  .0017366 -.0008005
T  308  8 .6093599E+08   4561630E+02 -.6523E+06 -.3939E+06   .9999953 -.0024805 -.0018170
T  309  8 .6081559E+08   4561631E+02 -.2444E+06  .5315E+06   .9999961 -.0024192  .0013920
T  310  8 .6084343E+08   4561631E+02 -.1681E+07  .5901E+06   .9999877 -.0049543 -.0002225
T  311  8 .6074896E+08   4561631E+02  .1081E+07 -.5961E+06   .9999951  .0026860  .0015910
T  312  8 .6079884E+08   4561631E+02 -.1424E+07 -.8947E+06   .9999930 -.0025034 -.0027982
T  313  8 .6068243E+08   4561630E+02 -.1019E+07  .3015E+07   .9999558 -.0022145  .0091427
T  314  8 .6080346E+08   4561630E+02  .4168E+07  .3271E+07   .9999403  .0089677  .0062484
T  315  8 .6062502E+08   4561630E+02 -.1379E+07 -.2346E+05   .9999916 -.0041045  .0000078
T  316  8 .6059970E+08   4561630E+02  .4882E+06 -.1286E+07   .9999704  .0075574 -.0014522
T  317  8 .6094621E+08   4561630E+02 -.1522E+07  .6294E+06   .9999793  .0043875  .0047056
T  318  8 .6110882E+08   4561630E+02  .7215E+05  .2738E+07   .9999913  .0004910  .0041505
T  319  8 .6085712E+08   4561630E+02 -.1825E+07 -.2298E+07   .9999835 -.0037446 -.0043525
T  320  8 .6070168E+08   4561630E+02  .5442E+06  .1441E+07   .9999945 -.0002847  .0032901
T  321  8 .6076641E+08   4561630E+02  .1631E+07 -.1403E+07   .9998744  .0142979 -.0068406
T  322  8 .6091580E+08   4561630E+02 -.3724E+06  .2183E+07   .9999787 -.0027973  .0058888
T  323  8 .6084411E+08   4561630E+02  .1616E+06  .2159E+07   .9999889 -.0017738  .0043708
T  324  8 .6083561E+08   4561631E+02 -.4379E+06 -.3458E+07   .9999539 -.0048027 -.0083146
T  325  8 .6080175E+08   4561631E+02 -.1281E+07  .2465E+06   .9999560 -.0062263 -.0070224
T  326  8 .6075555E+08   4561630E+02  .1519E+06 -.5117E+06   .9999992 -.0007331 -.0010649
T  327  8 .6085111E+08   4561631E+02 -.1358E+07  .3875E+06   .9999962 -.0027388  .0001532
T  328  8 .6076067E+08   4561630E+02  .3540E+07 -.6349E+06   .9999521  .0096194 -.0017928
T  329  8 .6059992E+08   4561630E+02  .2588E+06  .3028E+07   .9999344  .0055517  .0100164
T  330  8 .6081977E+08   4561631E+02  .6213E+07 -.1297E+07   .9999295  .0115870 -.0025786
T  331  8 .6086851E+08   4561630E+02  .8158E+06 -.3442E+07   .9999637  .0024844 -.0081524
T  332  8 .6087570E+08   4561630E+02 -.1188E+07  .2601E+07   .9999561 -.0039347  .0085038
T  333  8 .6072626E+08   4561631E+02 -.4986E+06 -.3531E+07   .9999500 -.0021116 -.0097733
T  334  8 .6096604E+08   4561631E+02  .9614E+05  .5443E+06   .9999922  .0012043  .0037692
T  335  8 .6083576E+08   4561630E+02  .6478E+06  .1923E+06   .9999995  .0005748  .0008380
T  336  8 .6091441E+08   4561631E+02 -.7299E+06 -.4803E+06   .9999963 -.0026871  .0005152
T  337  8 .6095915E+08   4561631E+02  .4526E+06 -.3241E+07   .9999399  .0042216 -.0101201
T  338  8 .6070616E+08   4561631E+02  .9476E+06 -.9810E+06   .9999903  .0029020 -.0033075
T  339  8 .6091870E+08   4561630E+02 -.5141E+06 -.3490E+06   .9999963 -.0019464 -.0019264
T  340  8 .6108780E+08   4561630E+02 -.2403E+07 -.2843E+07   .9999097 -.0069924 -.0114757
T  341  8 .6069196E+08   4561631E+02 -.2039E+06  .1531E+06   .9999999 -.0002157 -.0000364
T  342  8 .6100152E+08   4561631E+02 -.5549E+05  .1775E+07   .9999923  .0020530  .0033326
T  343  8 .6091598E+08   4561630E+02 -.4954E+07 -.7299E+05   .9998972 -.0142491 -.0015711
T  344  8 .6100385E+08   4561631E+02  .2648E+06  .8225E+06   .9999987  .0011493 -.0011033
T  345  8 .6070940E+08   4561631E+02 -.1598E+07  .7351E+06   .9999908 -.0010707  .0041578
T  346  8 .6107052E+08   4561631E+02  .1555E+07 -.1959E+07   .9999794  .0028905 -.0057334
T  347  8 .6092850E+08   4561630E+02  .1091E+07  .4986E+06   .9999567  .0092336  .0011259
T  348  8 .6065034E+08   4561631E+02  .1505E+07 -.8399E+06   .9999828  .0045440 -.0037107
T  349  8 .6077903E+08   4561630E+02  .2355E+07  .4090E+07   .9992393  .0285905  .0265203
T  350  8 .6075494E+08   4561630E+02  .1730E+07  .1297E+07   .9999932  .0027140  .0025127
T  351  8 .6074524E+08   4561631E+02 -.8319E+06  .4770E+06   .9999978  .0001252  .0020910
T  352  8 .6098953E+08   4561631E+02  .2715E+06 -.1669E+07   .9999887  .0016808 -.0044362
T  353  8 .6062942E+08   4561631E+02 -.5739E+06  .7464E+05   .9999970 -.0022071 -.0010823
T  354  8 .6091534E+08   4561630E+02 -.6531E+06 -.1647E+07   .9999852 -.0018805 -.0051053
T  355  8 .6072657E+08   4561630E+02 -.2424E+06 -.1438E+07   .9999929 -.0018807 -.0032729
T  356  8 .6076419E+08   4561630E+02  .7605E+06  .1102E+07   .9999829  .0031735  .0049107
T  357  8 .6074777E+08   4561631E+02  .1136E+06  .1020E+07   .9999968  .0018928  .0016738
T  358  8 .6086242E+08   4561630E+02  .1343E+07  .5207E+05   .9999244  .0122322  .0012589
T  359  8 .6079592E+08   4561631E+02  .8352E+05  .2189E+07   .9999817  .0015227  .0058508
T  360  8 .6091826E+08   4561630E+02 -.1985E+07 -.6924E+06   .9999677 -.0072614  .0034510
T  361  8 .6058771E+08   4561630E+02  .2237E+07 -.7620E+06   .9999784  .0043099 -.0049530
T  362  8 .6071124E+08   4561631E+02  .8428E+06 -.1955E+07   .9999920  .0009009 -.0039046
T  363  8 .6070111E+08   4561630E+02  .3271E+07  .2292E+07   .9999847  .0053705  .0013468
T  364  8 .6072850E+08   4561630E+02  .2299E+07 -.8068E+06   .9999906  .0028823 -.0032267
T  365  8 .6092771E+08   4561630E+02  .4608E+07  .2646E+07   .9998882  .0115110  .0095434
T  366  8 .6083427E+08   4561631E+02  .4695E+07 -.1537E+07   .9999062  .0115379 -.0073776
T  367  8 .6077276E+08   4561631E+02 -.8957E+05 -.9499E+06   .9999956  .0014407 -.0025791
T  368  8 .6097102E+08   4561631E+02 -.1990E+07 -.9828E+06   .9999348 -.0090233 -.0069973
T  369  8 .6086843E+08   4561630E+02 -.2153E+07 -.4215E+05   .9999883 -.0047942  .0006082
T  370  8 .6067326E+08   4561631E+02  .1584E+07  .1185E+07   .9999950  .0023601  .0021138
T  371  8 .6074180E+08   4561630E+02  .2800E+07  .7074E+06   .9999777  .0062796 -.0022867
T  372  8 .6082948E+08   4561631E+02  .5364E+05 -.1264E+06   .9999997 -.0006360  .0003613
T  373  8 .6081889E+08   4561630E+02  .3277E+07  .3493E+07   .9999161  .0084895  .0097788
T  374  8 .6089714E+08   4561631E+02  .2539E+07 -.3680E+06   .9999618  .0070003  .0052373
T  375  8 .6100515E+08   4561630E+02 -.2727E+05 -.2527E+07   .9999654  .0018232 -.0081206
T  376  8 .6065325E+08   4561630E+02 -.1992E+07 -.1369E+07   .9999878 -.0030818 -.0038672
T  377  8 .6076658E+08   4561631E+02 -.3405E+07 -.2590E+07   .9999882 -.0043921 -.0020957
T  378  8 .6083582E+08   4561630E+02 -.2340E+06  .1700E+06   .9999984 -.0016451  .0006356
T  379  8 .6062818E+08   4561630E+02 -.8794E+06 -.2721E+07   .9999785 -.0020127 -.0062374
T  380  8 .6084674E+08   4561630E+02  .1667E+07 -.3807E+06   .9999965  .0024903  .0008758
T  381  8 .6076436E+08   4561630E+02 -.8860E+06  .7488E+06   .9999987 -.0008700  .0013932
T  382  8 .6071732E+08   4561631E+02  .1910E+07 -.3600E+06   .9999889  .0043661 -.0017801
T  383  8 .6059325E+08   4561631E+02 -.1177E+07 -.4401E+06   .9999963 -.0025086  .0010563
T  384  8 .6100072E+08   4561630E+02 -.5802E+06  .9081E+06   .9999915 -.0007209  .0040651
T  385  8 .6073887E+08   4561631E+02 -.1442E+07  .4001E+07   .9999355 -.0023915  .0111013
T  386  8 .6094460E+08   4561630E+02  .6000E+06  .4729E+06   .9999979  .0020179 -.0002896
T  387  8 .6094337E+08   4561630E+02 -.1718E+07 -.4075E+07   .9999377 -.0046515 -.0101491
T  388  8 .6094203E+08   4561631E+02  .1006E+07  .2136E+07   .9999823  .0035442  .0047787
T  389  8 .6105809E+08   4561630E+02 -.1945E+07  .8181E+06   .9999943 -.0032738  .0007684
T  390  8 .6065744E+08   4561630E+02 -.6526E+06  .8228E+06   .9999968 -.0008161  .0023867
T  391  8 .6084168E+08   4561630E+02  .3773E+06  .7084E+06   .9999997  .0007903 -.0001736
T  392  8 .6114023E+08   4561631E+02  .1079E+07  .4948E+06   .9999994  .0004837 -.0009591
T  393  8 .6110142E+08   4561631E+02  .1796E+07  .3915E+07   .9999865  .0024911  .0045557
T  394  8 .6070904E+08   4561631E+02  .2574E+06  .2293E+06   .9999960  .0006119 -.0027592
T  395  8 .6070873E+08   4561630E+02  .9065E+06 -.1867E+07   .9999855  .0022925 -.0048681
T  396  8 .6049860E+08   4561630E+02 -.2029E+07  .8811E+06   .9999899 -.0044083  .0008327
T  397  8 .6102597E+08   4561631E+02  .1259E+07  .1359E+06   .9999871  .0047349 -.0018370
T  398  8 .6098623E+08   4561630E+02  .1122E+07  .2412E+06   .9999855  .0053159  .0008871
T  399  8 .6086673E+08   4561631E+02  .2884E+07 -.9864E+06   .9997431  .0226334  .0011963
T  400  8 .6082991E+08   4561630E+02  .1228E+07 -.3629E+07   .9998981  .0036422 -.0137995
T  401  8 .6096846E+08   4561631E+02 -.6419E+06  .8499E+06   .9999982 -.0018396 -.0003421
T  402  8 .6093806E+08   4561631E+02  .1278E+07 -.2398E+06   .9999873  .0049997  .0005685
T  403  8 .6064330E+08   4561631E+02 -.5397E+06  .2063E+07   .9999845  .0021999  .0051130
T  404  8 .6089146E+08   4561630E+02  .5640E+06  .2833E+06   .9999969  .0020199  .0014266
T  405  8 .6091582E+08   4561631E+02 -.4538E+06  .1140E+07   .9999889 -.0038340  .0027253
T  406  8 .6069378E+08   4561631E+02 -.1486E+07  .2538E+07   .9999775 -.0016432  .0064993
T  407  8 .6092450E+08   4561631E+02 -.1360E+07  .9636E+06   .9999744 -.0068920  .0019106
T  408  8 .6102666E+08   4561631E+02 -.1506E+07  .6845E+07   .9998628 -.0015579  .0164908
T  409  8 .6079465E+08   4561630E+02  .4741E+06  .2841E+07   .9999664 -.0018010  .0079934
T  410  8 .6088493E+08   4561630E+02 -.1604E+07  .3611E+06   .9999683 -.0070020  .0037808
T  411  8 .6067732E+08   4561631E+02  .2306E+07 -.3992E+06   .9999789  .0064948  .0000100
T  412  8 .6088186E+08   4561630E+02  .2941E+07  .1418E+06   .9999157  .0129586  .0007888
T  413  8 .6114855E+08   4561630E+02  .2497E+07 -.2679E+06   .9999722  .0074290 -.0006696
T  414  8 .6063483E+08   4561630E+02  .1800E+07 -.7183E+06   .9999925  .0034467 -.0017733
T  415  8 .6086882E+08   4561631E+02 -.3627E+06  .5643E+06   .9999968 -.0022750  .0010994
T  416  8 .6113502E+08   4561630E+02 -.1122E+07  .3111E+07   .9999785 -.0045890  .0046771
T  417  8 .6067639E+08   4561630E+02 -.2193E+07 -.9551E+06   .9999938 -.0016945 -.0030949
T  418  8 .6091690E+08   4561630E+02 -.7573E+05  .1462E+07   .9999985  .0001387  .0017340
T  419  8 .6088585E+08   4561631E+02 -.1719E+07  .1524E+07   .9999834 -.0043983  .0037163
T  420  8 .6066868E+08   4561630E+02  .5642E+07  .3339E+07   .9998878  .0105698  .0106126
T  421  8 .6086084E+08   4561630E+02 -.1542E+07  .1927E+07   .9999694 -.0055375  .0055330
T  422  8 .6078833E+08   4561630E+02 -.3800E+05  .1662E+06   .9999916 -.0026688  .0031220
T  423  8 .6071460E+08   4561631E+02 -.1656E+06  .4305E+06   .9999824 -.0054118  .0024289
T  424  8 .6076068E+08   4561630E+02 -.2854E+07 -.4371E+06   .9999242 -.0118427 -.0033826
T  425  8 .6095588E+08   4561630E+02 -.1141E+06  .6818E+06   .9999842 -.0055632  .0007544
T  426  8 .6063948E+08   4561630E+02 -.1367E+07  .6919E+06   .9999622 -.0035336  .0079398
T  427  8 .6075970E+08   4561630E+02 -.3606E+05  .8356E+06   .9999954  .0008276  .0029199
T  428  8 .6104160E+08   4561631E+02  .2977E+06 -.1555E+07   .9999741  .0006792 -.0071618
T  429  8 .6076261E+08   4561630E+02  .3000E+06 -.7497E+06   .9999982  .0018287 -.0005103
T  430  8 .6096841E+08   4561630E+02  .6509E+06 -.1602E+07   .9999869  .0005446 -.0050839
T  431  8 .6083507E+08   4561630E+02 -.3065E+07 -.2858E+07   .9999371 -.0065942 -.0090696
T  432  8 .6081815E+08   4561630E+02 -.2334E+07  .4468E+06   .9999849 -.0051825  .0018120
T  433  8 .6065348E+08   4561630E+02  .1378E+06 -.1894E+07   .9999948  .0002233 -.0032165
T  434  8 .6066275E+08   4561630E+02 -.6460E+05 -.1507E+07   .9999917  .0039595 -.0009967
T  435  8 .6089540E+08   4561631E+02  .3074E+07  .1229E+07   .9999491  .0098048  .0023915
T  436  8 .6074871E+08   4561630E+02  .2015E+07 -.1202E+07   .9999312  .0075968 -.0089428
T  437  8 .6085028E+08   4561630E+02 -.1829E+07 -.2628E+07   .9999701 -.0043104 -.0064172
T  438  8 .6089214E+08   4561631E+02  .4500E+06  .1938E+07   .9999795  .0031032  .0056021
T  439  8 .6083704E+08   4561631E+02  .4809E+07  .1138E+07   .9999249  .0106318  .0060926
T  440  8 .6082502E+08   4561630E+02 -.1607E+07 -.3133E+07   .9999670 -.0041278 -.0070000
T  441  8 .6075846E+08   4561630E+02  .3189E+06  .2129E+07   .9999914  .0001538  .0041503
T  442  8 .6079508E+08   4561631E+02 -.1018E+07 -.2072E+07   .9999886 -.0007164 -.0047200
T  443  8 .6077328E+08   4561631E+02 -.1238E+07  .1259E+07   .9999927 -.0020911  .0031929
T  444  8 .6093069E+08   4561630E+02  .4126E+06  .1387E+07   .9999863 -.0000452  .0052370
T  445  8 .6091132E+08   4561631E+02 -.6771E+06 -.1784E+07   .9999500 -.0010673 -.0099464
T  446  8 .6088431E+08   4561630E+02 -.3034E+06 -.1769E+06   .9999973 -.0021518  .0008209
T  447  8 .6100651E+08   4561630E+02  .1138E+07  .9199E+06   .9999954  .0023598  .0019274
T  448  8 .6079383E+08   4561630E+02 -.8618E+06 -.2415E+07   .9999808 -.0017059 -.0059520
T  449  8 .6098229E+08   4561631E+02  .4593E+06 -.1107E+06   .9999989  .0013763 -.0005951
T  450  8 .6092657E+08   4561631E+02 -.4431E+06 -.2825E+06   .9999998  .0003077 -.0005767
T  451  8 .6076742E+08   4561630E+02 -.2288E+07  .6384E+06   .9999844 -.0053004  .0017492
T  452  8 .6071057E+08   4561630E+02  .3662E+05  .1571E+07   .9999659  .0011315  .0081854
T  453  8 .6103723E+08   4561631E+02 -.2236E+07  .1594E+07   .9999601 -.0088405  .0013003
T  454  8 .6086813E+08   4561630E+02  .3048E+06  .6678E+06   .9999993 -.0006486 -.0010088
T  455  8 .6085964E+08   4561630E+02  .7619E+06  .1086E+07   .9999934  .0024757  .0026531
T  456  8 .6090149E+08   4561630E+02 -.3235E+06  .1067E+07   .9999932 -.0014065  .0033999
T  457  8 .6079327E+08   4561630E+02  .1955E+07  .1588E+07   .9999648  .0074393  .0038886
T  458  8 .6082147E+08   4561631E+02  .1466E+07  .1393E+07   .9999830  .0031654  .0048994
T  459  8 .6090428E+08   4561631E+02 -.3726E+07  .1666E+07   .9999630 -.0084649  .0015146
T  460  8 .6075836E+08   4561630E+02  .2429E+06 -.6612E+06   .9999959  .0028068 -.0005701
T  461  8 .6080314E+08   4561631E+02 -.1482E+06  .7431E+06   .9999968 -.0022898  .0010987
T  462  8 .6084832E+08   4561630E+02 -.2036E+07 -.2287E+06   .9999747 -.0071046 -.0003705
T  463  8 .6084943E+08   4561630E+02 -.6828E+06  .2095E+07   .9999907 -.0024921  .0035151
T  464  8 .6100151E+08   4561630E+02 -.4411E+06 -.1711E+06   .9999947 -.0009164 -.0031357
T  465  8 .6081825E+08   4561630E+02 -.5912E+06 -.9417E+06   .9999979 -.0020174  .0004388
T  466  8 .6094591E+08   4561630E+02  .3281E+06  .1872E+06   .9999962  .0027410 -.0002140
T  467  8 .6071167E+08   4561631E+02 -.2487E+07 -.2432E+07   .9999606 -.0071893 -.0052146
T  468  8 .6066673E+08   4561631E+02  .1356E+07 -.1001E+07   .9999878  .0020127 -.0045066
T  469  8 .6082315E+08   4561630E+02  .8606E+06  .3555E+06   .9999600  .0045689  .0076923
T  470  8 .6097232E+08   4561630E+02  .1071E+07 -.2632E+06   .9999982  .0014318 -.0012056
T  471  8 .6080119E+08   4561630E+02 -.6882E+06 -.1654E+07   .9999913 -.0002127 -.0041581
T  472  8 .6076976E+08   4561631E+02  .5126E+06 -.1747E+07   .9999970  .0016293 -.0018442
T  473  8 .6082999E+08   4561630E+02  .2768E+07 -.3545E+06   .9999288  .0114275 -.0034393
T  474  8 .6091441E+08   4561631E+02  .4149E+06 -.1761E+07   .9999770  .0058609 -.0034263
T  475  8 .6090936E+08   4561630E+02  .4543E+07  .5557E+07   .9998465  .0120088  .0127549
T  476  8 .6071254E+08   4561630E+02 -.2948E+07  .2117E+07   .9999681 -.0066940  .0043632
T  477  8 .6079022E+08   4561630E+02  .3506E+06  .1682E+07   .9999870  .0018936  .0047442
T  478  8 .6085581E+08   4561631E+02 -.1730E+07  .9239E+06   .9999857 -.0049465 -.0020378
T  479  8 .6080828E+08   4561630E+02 -.3323E+06  .2884E+07   .9999685 -.0007929  .0078935
T  480  8 .6081947E+08   4561630E+02  .1015E+07  .1258E+07   .9999778  .0038480  .0054490
T  481  8 .6101113E+08   4561630E+02 -.2763E+06  .3478E+06   .9999992 -.0005157  .0011643
T  482  8 .6085771E+08   4561631E+02 -.1372E+07  .3638E+07   .9997062 -.0047414  .0237690
T  483  8 .6075069E+08   4561630E+02  .8492E+06 -.2833E+07   .9999851  .0000448 -.0054596
T  484  8 .6086091E+08   4561630E+02  .1284E+07  .4516E+06   .9999975  .0019661 -.0010269
T  485  8 .6126911E+08   4561631E+02 -.3493E+06  .3934E+06   .9999910 -.0032807  .0026749
T  486  8 .6090332E+08   4561631E+02  .6488E+06  .1285E+07   .9999991  .0004317  .0012485
T  487  8 .6089073E+08   4561630E+02 -.2061E+06 -.1479E+06   .9999983 -.0000347 -.0018367
T  488  8 .6089785E+08   4561630E+02  .1530E+07  .1063E+06   .9999918  .0039941 -.0007246
T  489  8 .6068675E+08   4561630E+02  .3140E+07  .3046E+07   .9999480  .0086738  .0053718
T  490  8 .6064380E+08   4561630E+02 -.5356E+06  .1834E+07   .9999861 -.0023982  .0046933
T  491  8 .6097410E+08   4561630E+02 -.2015E+07  .1600E+06   .9999803 -.0056753 -.0026977
T  492  8 .6062505E+08   4561631E+02 -.1038E+07  .2928E+07   .9999693 -.0009938  .0077784
T  493  8 .6081457E+08   4561630E+02  .6254E+06  .9265E+06   .9999983  .0018351 -.0001596
T  494  8 .6071619E+08   4561630E+02 -.5323E+07 -.1535E+07   .9999182 -.0127465  .0010496
T  495  8 .6090228E+08   4561631E+02  .1089E+07 -.2341E+07   .9999535  .0029146 -.0091954
T  496  8 .6093575E+08   4561631E+02  .7534E+06  .2753E+07   .9999862  .0008734  .0051787
T  497  8 .6080260E+08   4561631E+02 -.3256E+07 -.3964E+07   .9998630 -.0119735 -.0114285
T  498  8 .6073646E+08   4561631E+02  .3183E+07 -.2044E+07   .9999488  .0088996 -.0048139
T  499  8 .6066111E+08   4561630E+02 -.1100E+07 -.1238E+07   .9999660 -.0038040 -.0073139
T  500  8 .6100684E+08   4561631E+02 -.1228E+07 -.3742E+06   .9999836 -.0057203  .0004172
T  501  8 .6082581E+08   4561630E+02  .7191E+06 -.4512E+06   .9999946  .0008922 -.0031695
T  502  8 .6069829E+08   4561630E+02 -.5231E+06  .4690E+05   .9999891 -.0006180 -.0046179
T  503  8 .6079946E+08   4561631E+02  .1969E+07 -.1018E+06   .9999793  .0063999 -.0006336
T  504  8 .6071798E+08   4561630E+02 -.2330E+07  .8096E+06   .9999914 -.0025520  .0032746
T  505  8 .6077767E+08   4561630E+02 -.5670E+06  .2101E+06   .9999917 -.0039486  .0010510
T  506  8 .6067774E+08   4561631E+02 -.1752E+07 -.2633E+07   .9999708 -.0024738 -.0072248
T  507  8 .6080367E+08   4561631E+02 -.2485E+07  .6714E+05   .9999499 -.0099806  .0007687
T  508  8 .6072084E+08   4561630E+02  .1352E+07  .1904E+07   .9999993  .0010121 -.0005338
T  509  8 .6058717E+08   4561630E+02 -.1781E+07  .3621E+06   .9999311 -.0114028  .0027702
T  510  8 .6072316E+08   4561630E+02  .4073E+07 -.1051E+06   .9999534  .0096498 -.0004086
T  511  8 .6074598E+08   4561630E+02 -.2546E+06 -.3497E+07   .9999494  .0014915 -.0099507
T  512  8 .6090152E+08   4561630E+02 -.3610E+06 -.8632E+06   .9999574  .0024125 -.0089144
T  513  8 .6085738E+08   4561631E+02  .1432E+06  .8224E+06   .9999993  .0010515  .0006200
T  514  8 .6095896E+08   4561631E+02 -.9265E+06 -.1234E+07   .9999964 -.0022747 -.0014026
T  515  8 .6091730E+08   4561631E+02  .2195E+06 -.6405E+06   .9999991  .0006962 -.0011077
T  516  8 .6060385E+08   4561630E+02 -.9232E+06 -.1084E+07   .9999970 -.0023929 -.0005963
T  517  8 .6086564E+08   4561630E+02  .1202E+06 -.1066E+07   .9999960 -.0014014 -.0024616
T  518  8 .6088115E+08   4561630E+02  .4648E+06  .2236E+07   .9999800 -.0018797  .0060426
T  519  8 .6092792E+08   4561630E+02  .1027E+07 -.7769E+06   .9999939  .0033905 -.0008298
T  520  8 .6077525E+08   4561630E+02  .7705E+06 -.7880E+06   .9999781  .0048162 -.0045388
T  521  8 .6089778E+08   4561630E+02  .2720E+07  .2589E+07   .9999035  .0118427  .0072624
T  522  8 .6090104E+08   4561630E+02  .1141E+07 -.2343E+07   .9999797  .0016545 -.0061538
T  523  8 .6097576E+08   4561630E+02  .6900E+06 -.4811E+06   .9999959  .0027735 -.0007182
