============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(76.5 MeV) ==> Mylar_IC+CF4_IC+Mylar_CF( 45.6 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   87  8 .6102424E+08   4561631E+02  .4507E+06 -.7283E+06   .9999995  .0003082 -.0009039
T   88  8 .6088009E+08   4561630E+02  .6680E+06  .8099E+06   .9999940  .0029276  .0018247
T   89  8 .6080733E+08   4561631E+02  .8814E+06  .3163E+06   .9999715  .0075432 -.0002630
T   90  8 .6074293E+08   4561630E+02 -.7749E+06  .4950E+06   .9999967 -.0022468  .0012442
T   91  8 .6074738E+08   4561630E+02  .4089E+06  .8881E+05   .9999984 -.0015902  .0008509
T   92  8 .6098534E+08   4561631E+02  .2180E+07 -.9515E+06   .9999705  .0067561 -.0036504
T   93  8 .6092753E+08   4561631E+02  .3667E+06  .7243E+06   .9999711  .0063011  .0042582
T   94  8 .6081640E+08   4561631E+02 -.1881E+07  .2685E+07   .9999845 -.0022058  .0051150
T   95  8 .6078478E+08   4561630E+02  .9661E+06  .1463E+07   .9999783  .0042666  .0050214
T   96  8 .6098857E+08   4561631E+02  .6569E+06  .4363E+06   .9999887  .0045405 -.0014342
T   97  8 .6094091E+08   4561631E+02 -.2153E+06  .1226E+07   .9999998  .0000069 -.0006342
T   98  8 .6105268E+08   4561630E+02 -.1282E+07 -.1951E+06   .9999941 -.0034286 -.0002164
T   99  8 .6093171E+08   4561630E+02  .1257E+07 -.2004E+07   .9999679  .0059254 -.0054019
T  100  8 .6089753E+08   4561630E+02 -.8011E+04 -.6372E+06   .9999975 -.0018546 -.0012226
T  101  8 .6096496E+08   4561630E+02 -.5793E+06 -.6259E+06   .9999827 -.0042500 -.0040698
T  102  8 .6089807E+08   4561630E+02  .4398E+06 -.2744E+07   .9999562  .0026839 -.0089668
T  103  8 .6069294E+08   4561631E+02  .6094E+05  .2066E+07   .9999957 -.0017231  .0023523
T  104  8 .6088350E+08   4561630E+02 -.1088E+07  .1866E+06   .9999882 -.0035360  .0033442
T  105  8 .6096312E+08   4561630E+02  .1035E+07  .5260E+07   .9999006  .0006925  .0140833
T  106  8 .6090895E+08   4561630E+02  .9675E+06  .2081E+07   .9999856  .0004448  .0053544
T  107  8 .6090300E+08   4561630E+02 -.4594E+07  .1125E+07   .9998956 -.0144474  .0000747
T  108  8 .6070391E+08   4561630E+02  .2460E+07  .2956E+07   .9999317  .0060890  .0099799
T  109  8 .6076555E+08   4561630E+02  .1133E+07  .1092E+07   .9999978 -.0001950  .0021016
T  110  8 .6078641E+08   4561630E+02 -.5949E+06 -.8810E+06   .9999771 -.0044770 -.0050820
T  111  8 .6073866E+08   4561631E+02 -.2084E+05 -.1188E+07   .9999920  .0013625 -.0037516
T  112  8 .6088269E+08   4561630E+02  .1682E+07 -.4350E+06   .9999960  .0027619 -.0006109
T  113  8 .6090602E+08   4561630E+02 -.1361E+07 -.2855E+07   .9999886 -.0013902 -.0045592
T  114  8 .6093575E+08   4561631E+02 -.1609E+07  .5820E+06   .9999887 -.0030405  .0036428
T  115  8 .6069487E+08   4561630E+02  .3056E+06  .1677E+07   .9999897 -.0000714  .0045459
T  116  8 .6062721E+08   4561630E+02 -.1107E+07  .1586E+07   .9998604 -.0096249  .0136552
T  117  8 .6087594E+08   4561630E+02 -.1138E+07  .2258E+06   .9999985 -.0015245  .0008442
T  118  8 .6090932E+08   4561631E+02  .9793E+06  .8836E+06   .9999784  .0063262  .0017698
T  119  8 .6069524E+08   4561630E+02 -.6356E+06  .1403E+06   .9999936 -.0018992  .0030340
T  120  8 .6085100E+08   4561630E+02 -.1504E+07 -.6420E+05   .9999899 -.0041910 -.0016081
T  121  8 .6087867E+08   4561630E+02 -.1906E+07  .1657E+07   .9999795 -.0061663  .0017480
T  122  8 .6089118E+08   4561630E+02  .1248E+07  .1046E+07   .9999888  .0047302  .0000082
T  123  8 .6085248E+08   4561630E+02 -.1041E+06  .5404E+06   .9999986  .0014263  .0008183
T  124  8 .6098400E+08   4561630E+02 -.1759E+07 -.8148E+06   .9999860 -.0041905 -.0032458
T  125  8 .6099318E+08   4561630E+02  .1169E+07 -.1966E+07   .9999829  .0031256 -.0049375
T  126  8 .6063692E+08   4561631E+02 -.3272E+07  .5256E+06   .9998883 -.0146166  .0031355
T  127  8 .6087156E+08   4561631E+02  .1073E+07 -.3944E+05   .9999951  .0017827 -.0025848
T  128  8 .6086668E+08   4561630E+02 -.3858E+06  .1541E+07   .9999864  .0003015  .0052047
T  129  8 .6096153E+08   4561630E+02 -.3324E+06 -.2308E+07   .9999987  .0012521 -.0010164
T  130  8 .6061264E+08   4561630E+02  .1953E+07  .2341E+05   .9999836  .0054333 -.0017899
T  131  8 .6070520E+08   4561630E+02 -.4565E+06  .7535E+06   .9999797 -.0012916  .0062449
T  132  8 .6093023E+08   4561630E+02 -.7118E+06 -.6871E+06   .9999961 -.0025601 -.0011061
T  133  8 .6071414E+08   4561630E+02 -.2566E+07  .1189E+07   .9999564 -.0071723  .0059744
T  134  8 .6079360E+08   4561630E+02  .8143E+06  .5089E+06   .9999990  .0011098  .0008455
T  135  8 .6076510E+08   4561630E+02  .9728E+05 -.4422E+06   .9999965 -.0015969  .0021105
T  136  8 .6066022E+08   4561630E+02  .4834E+07  .6002E+07   .9998834  .0096065  .0118679
T  137  8 .6095403E+08   4561630E+02  .6583E+06  .1268E+07   .9999933  .0033463  .0015089
T  138  8 .6079669E+08   4561631E+02  .1732E+07 -.1888E+07   .9999880  .0030410 -.0038292
T  139  8 .6073718E+08   4561630E+02 -.6640E+06 -.1644E+07   .9999760 -.0043261 -.0054042
T  140  8 .6071776E+08   4561630E+02  .2792E+07 -.8671E+06   .9999681  .0079838  .0000359
T  141  8 .6086963E+08   4561631E+02 -.8801E+06 -.2698E+07   .9999795 -.0019102 -.0061121
T  142  8 .6083680E+08   4561630E+02 -.3076E+06 -.5776E+06   .9999944 -.0017624  .0028294
T  143  8 .6071478E+08   4561630E+02  .1860E+06 -.3560E+06   .9999918 -.0023821 -.0032689
T  144  8 .6087363E+08   4561631E+02 -.8682E+06 -.8548E+06   .9999890 -.0043501 -.0017365
T  145  8 .6074858E+08   4561631E+02 -.5804E+07 -.4402E+07   .9998922 -.0121878 -.0081916
T  146  8 .6080787E+08   4561630E+02  .1652E+07  .1665E+07   .9999762  .0048916  .0048729
T  147  8 .6098370E+08   4561630E+02  .1483E+06 -.1407E+06   .9999992  .0012035 -.0002791
T  148  8 .6076598E+08   4561630E+02  .1825E+07 -.5473E+06   .9999750  .0068303 -.0018087
T  149  8 .6085641E+08   4561630E+02  .1296E+07 -.4577E+07   .9999427 -.0009648 -.0106609
T  150  8 .6081024E+08   4561630E+02 -.2970E+07  .1002E+07   .9999587 -.0076740  .0048676
T  151  8 .6090123E+08   4561631E+02 -.1474E+07  .1471E+07   .9999815 -.0014889  .0058942
T  152  8 .6098870E+08   4561630E+02  .2207E+07  .1307E+07   .9999610  .0056111  .0068237
T  153  8 .6083568E+08   4561630E+02  .1476E+07  .1262E+07   .9999858  .0034474  .0040545
T  154  8 .6086096E+08   4561630E+02 -.6198E+05 -.1393E+07   .9999924  .0012265 -.0037131
T  155  8 .6091428E+08   4561631E+02 -.3622E+07  .4415E+07   .9999383 -.0050987  .0098736
T  156  8 .6084290E+08   4561630E+02 -.6822E+06 -.1394E+07   .9999917  .0002416 -.0040594
T  157  8 .6098971E+08   4561631E+02 -.2201E+06  .1753E+07   .9999779  .0004114  .0066398
T  158  8 .6090902E+08   4561630E+02  .3911E+06 -.2794E+07   .9999881 -.0006551 -.0048318
