 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 17, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\4He_H2-iC4H10_95-5_650mbar.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.2900E-04 g/cm3 = 4.1898E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   2.902E-02  2.799E-05   71.31 mm     2.52 mm     1.01 mm  
   3.25 MeV   2.739E-02  2.609E-05   80.17 mm     2.82 mm     1.08 mm  
   3.50 MeV   2.594E-02  2.444E-05   89.54 mm     3.12 mm     1.15 mm  
   3.75 MeV   2.465E-02  2.300E-05   99.42 mm     3.43 mm     1.23 mm  
   4.00 MeV   2.349E-02  2.172E-05  109.80 mm     3.73 mm     1.32 mm  
   4.50 MeV   2.149E-02  1.957E-05  132.04 mm     4.90 mm     1.50 mm  
   5.00 MeV   1.982E-02  1.783E-05  156.26 mm     5.99 mm     1.70 mm  
   5.50 MeV   1.841E-02  1.638E-05  182.41 mm     7.05 mm     1.92 mm  
   6.00 MeV   1.719E-02  1.516E-05  210.50 mm     8.11 mm     2.16 mm  
   6.50 MeV   1.614E-02  1.412E-05  240.50 mm     9.17 mm     2.41 mm  
   7.00 MeV   1.521E-02  1.322E-05  272.39 mm    10.23 mm     2.69 mm  
   8.00 MeV   1.366E-02  1.174E-05  341.74 mm    14.21 mm     3.28 mm  
   9.00 MeV   1.251E-02  1.056E-05  418.20 mm    17.89 mm     3.94 mm  
  10.00 MeV   1.145E-02  9.614E-06  501.71 mm    21.47 mm     4.65 mm  
  11.00 MeV   1.061E-02  8.827E-06  592.39 mm    25.04 mm     5.43 mm  
  12.00 MeV   9.897E-03  8.165E-06  689.92 mm    28.63 mm     6.26 mm  
  13.00 MeV   9.280E-03  7.599E-06  794.21 mm    32.25 mm     7.15 mm  
  14.00 MeV   8.741E-03  7.110E-06  905.18 mm    35.91 mm     8.09 mm  
