 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 30, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17F_H2-iC4H10_95-5_700mbar.txt

 Ion = Fluorine [9] , Mass = 18.998 amu

 Target Density =  1.4000E-04 g/cm3 = 4.5470E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = 35.51%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   4.579E-01  1.763E-03   14.03 mm   444.99 um   466.53 um  
   3.50 MeV   4.771E-01  1.659E-03   14.56 mm   452.25 um   471.10 um  
   3.75 MeV   4.936E-01  1.568E-03   15.08 mm   458.86 um   475.22 um  
   4.00 MeV   5.075E-01  1.487E-03   15.57 mm   464.97 um   478.97 um  
   4.50 MeV   5.285E-01  1.350E-03   16.54 mm   485.71 um   485.64 um  
   5.00 MeV   5.416E-01  1.237E-03   17.47 mm   504.33 um   491.48 um  
   5.50 MeV   5.483E-01  1.143E-03   18.38 mm   521.59 um   496.72 um  
   6.00 MeV   5.501E-01  1.064E-03   19.29 mm   538.00 um   501.53 um  
   6.50 MeV   5.481E-01  9.949E-04   20.20 mm   553.90 um   506.02 um  
   7.00 MeV   5.435E-01  9.351E-04   21.11 mm   569.50 um   510.27 um  
   8.00 MeV   5.289E-01  8.359E-04   22.98 mm   628.66 um   518.26 um  
   9.00 MeV   5.111E-01  7.569E-04   24.90 mm   685.93 um   525.83 um  
  10.00 MeV   4.925E-01  6.924E-04   26.89 mm   742.48 um   533.18 um  
  11.00 MeV   4.746E-01  6.387E-04   28.95 mm   798.85 um   540.41 um  
  12.00 MeV   4.580E-01  5.932E-04   31.09 mm   855.31 um   547.62 um  
  13.00 MeV   4.427E-01  5.541E-04   33.31 mm   911.92 um   554.86 um  
  14.00 MeV   4.288E-01  5.201E-04   35.61 mm   968.73 um   562.17 um  
  15.00 MeV   4.160E-01  4.903E-04   37.97 mm     1.03 mm   569.58 um  
  16.00 MeV   4.041E-01  4.639E-04   40.41 mm     1.08 mm   577.11 um  
  17.00 MeV   3.931E-01  4.404E-04   42.91 mm     1.14 mm   584.79 um  
  18.00 MeV   3.828E-01  4.193E-04   45.49 mm     1.20 mm   592.63 um  
  20.00 MeV   3.639E-01  3.830E-04   50.84 mm     1.42 mm   608.85 um  
  22.50 MeV   3.430E-01  3.460E-04   57.91 mm     1.74 mm   630.26 um  
  25.00 MeV   3.243E-01  3.158E-04   65.40 mm     2.04 mm   653.08 um  
  27.50 MeV   3.076E-01  2.908E-04   73.31 mm     2.33 mm   677.41 um  
  30.00 MeV   2.925E-01  2.696E-04   81.64 mm     2.61 mm   703.35 um  
  32.50 MeV   2.788E-01  2.515E-04   90.40 mm     2.89 mm   730.95 um  
  35.00 MeV   2.663E-01  2.358E-04   99.57 mm     3.17 mm   760.27 um  
  37.50 MeV   2.550E-01  2.220E-04  109.15 mm     3.45 mm   791.32 um  
  40.00 MeV   2.461E-01  2.098E-04  119.13 mm     3.73 mm   824.06 um  
  45.00 MeV   2.281E-01  1.893E-04  140.22 mm     4.78 mm   894.52 um  
  50.00 MeV   2.130E-01  1.726E-04  162.89 mm     5.76 mm   971.75 um  
  55.00 MeV   2.003E-01  1.587E-04  187.09 mm     6.70 mm     1.06 mm  
  60.00 MeV   1.894E-01  1.470E-04  212.74 mm     7.62 mm     1.15 mm  
  65.00 MeV   1.799E-01  1.370E-04  239.82 mm     8.53 mm     1.24 mm  
  70.00 MeV   1.714E-01  1.283E-04  268.28 mm     9.44 mm     1.34 mm  
  80.00 MeV   1.573E-01  1.141E-04  329.17 mm    12.78 mm     1.56 mm  
  90.00 MeV   1.457E-01  1.028E-04  395.22 mm    15.84 mm     1.80 mm  
 100.00 MeV   1.360E-01  9.360E-05  466.25 mm    18.76 mm     2.06 mm  
 110.00 MeV   1.276E-01  8.600E-05  542.15 mm    21.62 mm     2.33 mm  
 120.00 MeV   1.203E-01  7.960E-05  622.83 mm    24.46 mm     2.62 mm  
 130.00 MeV   1.138E-01  7.412E-05  708.27 mm    27.29 mm     2.92 mm  
 140.00 MeV   1.079E-01  6.938E-05  798.47 mm    30.13 mm     3.25 mm  
 150.00 MeV   1.026E-01  6.524E-05  893.47 mm    33.00 mm     3.58 mm  
 160.00 MeV   9.772E-02  6.159E-05  993.31 mm    35.90 mm     3.93 mm  
 170.00 MeV   9.321E-02  5.834E-05    1.10 m     38.85 mm     4.30 mm  
 180.00 MeV   8.904E-02  5.544E-05    1.21 m     41.84 mm     4.69 mm  
 200.00 MeV   8.155E-02  5.045E-05    1.44 m     53.43 mm     5.51 mm  
 225.00 MeV   7.353E-02  4.539E-05    1.77 m     70.31 mm     6.63 mm  
 250.00 MeV   6.671E-02  4.130E-05    2.12 m     86.59 mm     7.86 mm  
 275.00 MeV   6.090E-02  3.791E-05    2.51 m    102.86 mm     9.21 mm  
