 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 19, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17F_H2-iC4H10_95-5_760mbar.txt

 Ion = Fluorine [9] , Mass = 17 amu

 Target Density =  1.5030E-04 g/cm3 = 4.8816E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   3.994E-01  1.724E-03   16.20 mm   538.46 um   599.07 um  
   3.50 MeV   4.153E-01  1.623E-03   16.81 mm   546.61 um   605.00 um  
   3.75 MeV   4.291E-01  1.533E-03   17.40 mm   554.06 um   610.35 um  
   4.00 MeV   4.408E-01  1.454E-03   17.97 mm   560.96 um   615.23 um  
   4.50 MeV   4.591E-01  1.319E-03   19.08 mm   584.11 um   623.89 um  
   5.00 MeV   4.716E-01  1.209E-03   20.15 mm   604.88 um   631.46 um  
   5.50 MeV   4.798E-01  1.117E-03   21.20 mm   624.03 um   638.23 um  
   6.00 MeV   4.847E-01  1.038E-03   22.23 mm   642.06 um   644.40 um  
   6.50 MeV   4.870E-01  9.710E-04   23.26 mm   659.30 um   650.11 um  
   7.00 MeV   4.875E-01  9.125E-04   24.28 mm   675.95 um   655.45 um  
   8.00 MeV   4.843E-01  8.155E-04   26.34 mm   737.33 um   665.33 um  
   9.00 MeV   4.777E-01  7.382E-04   28.41 mm   795.02 um   674.44 um  
  10.00 MeV   4.690E-01  6.751E-04   30.52 mm   850.42 um   683.04 um  
  11.00 MeV   4.592E-01  6.226E-04   32.67 mm   904.41 um   691.30 um  
  12.00 MeV   4.488E-01  5.781E-04   34.87 mm   957.54 um   699.33 um  
  13.00 MeV   4.381E-01  5.399E-04   37.12 mm     1.01 mm   707.22 um  
  14.00 MeV   4.273E-01  5.067E-04   39.43 mm     1.06 mm   715.05 um  
  15.00 MeV   4.167E-01  4.776E-04   41.80 mm     1.12 mm   722.85 um  
  16.00 MeV   4.063E-01  4.519E-04   44.23 mm     1.17 mm   730.67 um  
  17.00 MeV   3.961E-01  4.289E-04   46.72 mm     1.22 mm   738.55 um  
  18.00 MeV   3.863E-01  4.083E-04   49.27 mm     1.27 mm   746.52 um  
  20.00 MeV   3.676E-01  3.729E-04   54.57 mm     1.48 mm   762.81 um  
  22.50 MeV   3.461E-01  3.368E-04   61.58 mm     1.78 mm   784.02 um  
  25.00 MeV   3.267E-01  3.074E-04   69.01 mm     2.07 mm   806.40 um  
  27.50 MeV   3.092E-01  2.830E-04   76.87 mm     2.35 mm   830.14 um  
  30.00 MeV   2.935E-01  2.623E-04   85.16 mm     2.63 mm   855.36 um  
  32.50 MeV   2.792E-01  2.446E-04   93.89 mm     2.91 mm   882.19 um  
  35.00 MeV   2.674E-01  2.293E-04  103.03 mm     3.18 mm   910.64 um  
  37.50 MeV   2.570E-01  2.159E-04  112.56 mm     3.46 mm   940.70 um  
  40.00 MeV   2.461E-01  2.040E-04  122.50 mm     3.74 mm   972.46 um  
  45.00 MeV   2.278E-01  1.840E-04  143.61 mm     4.79 mm     1.04 mm  
  50.00 MeV   2.129E-01  1.678E-04  166.30 mm     5.77 mm     1.12 mm  
  55.00 MeV   2.002E-01  1.543E-04  190.51 mm     6.71 mm     1.20 mm  
  60.00 MeV   1.892E-01  1.429E-04  216.19 mm     7.63 mm     1.29 mm  
  65.00 MeV   1.797E-01  1.331E-04  243.29 mm     8.54 mm     1.38 mm  
  70.00 MeV   1.713E-01  1.247E-04  271.77 mm     9.45 mm     1.49 mm  
  80.00 MeV   1.571E-01  1.108E-04  332.72 mm    12.80 mm     1.71 mm  
  90.00 MeV   1.454E-01  9.982E-05  398.87 mm    15.86 mm     1.95 mm  
 100.00 MeV   1.356E-01  9.090E-05  470.08 mm    18.80 mm     2.21 mm  
 110.00 MeV   1.270E-01  8.351E-05  546.27 mm    21.67 mm     2.49 mm  
 120.00 MeV   1.195E-01  7.729E-05  627.40 mm    24.53 mm     2.79 mm  
 130.00 MeV   1.128E-01  7.196E-05  713.51 mm    27.40 mm     3.11 mm  
 140.00 MeV   1.067E-01  6.736E-05  804.63 mm    30.28 mm     3.44 mm  
 150.00 MeV   1.012E-01  6.333E-05  900.84 mm    33.21 mm     3.80 mm  
 160.00 MeV   9.611E-02  5.978E-05    1.00 m     36.18 mm     4.17 mm  
 170.00 MeV   9.144E-02  5.663E-05    1.11 m     39.21 mm     4.56 mm  
 180.00 MeV   8.712E-02  5.380E-05    1.22 m     42.30 mm     4.96 mm  
 200.00 MeV   7.941E-02  4.895E-05    1.46 m     54.30 mm     5.84 mm  
 225.00 MeV   7.124E-02  4.404E-05    1.79 m     71.85 mm     7.04 mm  
 250.00 MeV   6.439E-02  4.006E-05    2.16 m     88.85 mm     8.38 mm  
 275.00 MeV   5.864E-02  3.677E-05    2.57 m    105.89 mm     9.85 mm  
 300.00 MeV   5.380E-02  3.400E-05    3.01 m    123.22 mm    11.46 mm  
 325.00 MeV   4.974E-02  3.163E-05    3.50 m    140.95 mm    13.22 mm  
 350.00 MeV   4.633E-02  2.959E-05    4.02 m    159.07 mm    15.11 mm  
 375.00 MeV   4.347E-02  2.780E-05    4.58 m    177.55 mm    17.14 mm  
 400.00 MeV   4.110E-02  2.623E-05    5.17 m    196.31 mm    19.31 mm  
 450.00 MeV   3.753E-02  2.358E-05    6.44 m    266.49 mm    23.99 mm  
 500.00 MeV   3.520E-02  2.143E-05    7.82 m    330.03 mm    29.05 mm  
 550.00 MeV   3.273E-02  1.966E-05    9.29 m    390.38 mm    34.45 mm  
 600.00 MeV   3.046E-02  1.817E-05   10.87 m    450.16 mm    40.23 mm  
 650.00 MeV   2.851E-02  1.689E-05   12.57 m    510.24 mm    46.40 mm  
 700.00 MeV   2.682E-02  1.579E-05   14.38 m    570.86 mm    52.94 mm  
 800.00 MeV   2.403E-02  1.399E-05   18.32 m    798.03 mm    67.14 mm  
 900.00 MeV   2.183E-02  1.256E-05   22.68 m      1.01 m     82.78 mm  
   1.00 GeV   2.004E-02  1.141E-05   27.46 m      1.22 m     99.83 mm  
   1.10 GeV   1.856E-02  1.046E-05   32.64 m      1.42 m    118.22 mm  
   1.20 GeV   1.732E-02  9.665E-06   38.22 m      1.62 m    137.93 mm  
   1.30 GeV   1.625E-02  8.983E-06   44.18 m      1.83 m    158.90 mm  
   1.40 GeV   1.534E-02  8.395E-06   50.51 m      2.04 m    181.10 mm  
   1.50 GeV   1.453E-02  7.882E-06   57.21 m      2.25 m    204.49 mm  
   1.60 GeV   1.383E-02  7.430E-06   64.26 m      2.46 m    229.04 mm  
   1.70 GeV   1.320E-02  7.028E-06   71.66 m      2.67 m    254.70 mm  
   1.80 GeV   1.264E-02  6.670E-06   79.40 m      2.89 m    281.45 mm  
   2.00 GeV   1.168E-02  6.056E-06   95.87 m      3.71 m    338.12 mm  
