 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 19, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\4He_H2-iC4H10_95-5_760mbar.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.5030E-04 g/cm3 = 4.8816E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.178E-02  3.065E-03  676.64 um   125.80 um   122.68 um  
  11.00 keV   1.239E-02  2.883E-03  738.68 um   132.72 um   131.47 um  
  12.00 keV   1.297E-02  2.724E-03  799.27 um   139.09 um   139.77 um  
  13.00 keV   1.353E-02  2.585E-03  858.45 um   144.97 um   147.61 um  
  14.00 keV   1.407E-02  2.460E-03  916.31 um   150.40 um   155.04 um  
  15.00 keV   1.460E-02  2.349E-03  972.88 um   155.46 um   162.08 um  
  16.00 keV   1.511E-02  2.248E-03    1.03 mm   160.17 um   168.77 um  
  17.00 keV   1.561E-02  2.157E-03    1.08 mm   164.57 um   175.13 um  
  18.00 keV   1.609E-02  2.074E-03    1.14 mm   168.69 um   181.20 um  
  20.00 keV   1.703E-02  1.927E-03    1.24 mm   176.48 um   192.52 um  
  22.50 keV   1.814E-02  1.774E-03    1.36 mm   185.16 um   205.35 um  
  25.00 keV   1.919E-02  1.646E-03    1.48 mm   192.75 um   216.94 um  
  27.50 keV   2.020E-02  1.537E-03    1.59 mm   199.45 um   227.47 um  
  30.00 keV   2.116E-02  1.443E-03    1.70 mm   205.42 um   237.10 um  
  32.50 keV   2.209E-02  1.360E-03    1.81 mm   210.79 um   245.95 um  
