 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 17, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17F_H2-iC4H10_95-5_650mbar.txt

 Ion = Fluorine [9] , Mass = 17 amu

 Target Density =  1.2900E-04 g/cm3 = 4.1898E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.719E-02  4.359E-02  174.22 um    33.90 um    26.99 um  
  11.00 keV   1.803E-02  4.291E-02  189.58 um    36.38 um    28.98 um  
  12.00 keV   1.884E-02  4.223E-02  204.93 um    38.80 um    30.93 um  
  13.00 keV   1.960E-02  4.155E-02  220.28 um    41.18 um    32.86 um  
  14.00 keV   2.034E-02  4.089E-02  235.63 um    43.51 um    34.77 um  
  15.00 keV   2.106E-02  4.024E-02  250.98 um    45.81 um    36.66 um  
  16.00 keV   2.175E-02  3.961E-02  266.34 um    48.06 um    38.53 um  
  17.00 keV   2.242E-02  3.900E-02  281.71 um    50.28 um    40.39 um  
  18.00 keV   2.307E-02  3.840E-02  297.08 um    52.46 um    42.23 um  
  20.00 keV   2.432E-02  3.726E-02  327.84 um    56.80 um    45.87 um  
  22.50 keV   2.579E-02  3.593E-02  366.29 um    62.06 um    50.34 um  
  25.00 keV   2.719E-02  3.471E-02  404.73 um    67.13 um    54.75 um  
  27.50 keV   2.851E-02  3.357E-02  443.13 um    72.01 um    59.08 um  
  30.00 keV   2.978E-02  3.251E-02  481.48 um    76.71 um    63.34 um  
  32.50 keV   3.100E-02  3.153E-02  519.76 um    81.26 um    67.54 um  
  35.00 keV   3.319E-02  3.061E-02  557.62 um    85.60 um    71.67 um  
