============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(76.5 MeV) ==> Mylar_IC+Carbon Tetraflu( 36.0 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   69  9 .6123127E+08   3601150E+02 -.1325E+07  .7491E+06   .9999791 -.0057818  .0028775
T   70  9 .6125719E+08   3601150E+02 -.3162E+06 -.1289E+07   .9999910  .0004434 -.0042303
T   71  9 .6138994E+08   3601150E+02  .1203E+07  .1933E+07   .9999749  .0034068  .0062100
T   72  9 .6123641E+08   3601150E+02  .1156E+07  .4854E+06   .9999938  .0031005  .0016458
T   73  9 .6103570E+08   3601150E+02 -.1915E+06 -.9882E+06   .9999934 -.0017493 -.0031990
T   74  9 .6124441E+08   3601150E+02  .1342E+07 -.1166E+07   .9999814  .0053881 -.0028621
T   75  9 .6136778E+08   3601150E+02  .1642E+07  .1265E+07   .9999648  .0033065  .0077118
T   76  9 .6111645E+08   3601150E+02 -.2081E+06 -.3653E+07   .9999720 -.0012182 -.0073800
T   77  9 .6144776E+08   3601150E+02 -.9689E+06  .6713E+06   .9999840 -.0053860  .0017228
T   78  9 .6116561E+08   3601150E+02  .9137E+07 -.1620E+07   .9997199  .0228246 -.0062591
T   79  9 .6105736E+08   3601150E+02 -.9859E+06  .1468E+07   .9999827 -.0026419  .0052574
T   80  9 .6135077E+08   3601150E+02  .1379E+07  .4368E+06   .9999943  .0024830 -.0022829
T   81  9 .6114569E+08   3601150E+02  .3836E+06 -.4807E+06   .9999881  .0014518 -.0046488
T   82  9 .6143503E+08   3601150E+02  .1582E+07  .1091E+07   .9999869  .0043550  .0027048
T   83  9 .6122916E+08   3601150E+02  .4227E+06  .1832E+07   .9999675  .0047830  .0064932
T   84  9 .6108218E+08   3601150E+02 -.4291E+06  .1522E+07   .9999771 -.0032355  .0059441
T   85  9 .6116765E+08   3601150E+02 -.2626E+06  .1560E+07   .9999760 -.0006596  .0069025
