 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 16, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_H2-iC4H10_95-5_700mbar.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.3800E-04 g/cm3 = 4.4821E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   2.652E-03  2.235E-06  633.11 mm    26.36 mm    11.26 mm  
   3.25 MeV   2.486E-03  2.079E-06  730.37 mm    29.86 mm    12.93 mm  
   3.50 MeV   2.342E-03  1.945E-06  833.86 mm    33.40 mm    14.71 mm  
   3.75 MeV   2.214E-03  1.828E-06  943.52 mm    36.97 mm    16.59 mm  
   4.00 MeV   2.101E-03  1.725E-06    1.06 m     40.59 mm    18.56 mm  
   4.50 MeV   1.909E-03  1.551E-06    1.31 m     54.07 mm    22.81 mm  
   5.00 MeV   1.751E-03  1.410E-06    1.58 m     66.77 mm    27.44 mm  
   5.50 MeV   1.620E-03  1.294E-06    1.88 m     79.19 mm    32.44 mm  
   6.00 MeV   1.508E-03  1.196E-06    2.20 m     91.55 mm    37.82 mm  
   6.50 MeV   1.411E-03  1.112E-06    2.54 m    103.96 mm    43.56 mm  
   7.00 MeV   1.328E-03  1.040E-06    2.91 m    116.49 mm    49.66 mm  
   8.00 MeV   1.189E-03  9.211E-07    3.70 m    162.74 mm    62.92 mm  
   9.00 MeV   1.078E-03  8.276E-07    4.58 m    205.96 mm    77.57 mm  
  10.00 MeV   9.874E-04  7.520E-07    5.55 m    248.27 mm    93.58 mm  
  11.00 MeV   9.120E-04  6.895E-07    6.60 m    290.51 mm   110.93 mm  
  12.00 MeV   8.482E-04  6.370E-07    7.74 m    333.08 mm   129.58 mm  
  13.00 MeV   7.933E-04  5.921E-07    8.96 m    376.19 mm   149.52 mm  
  14.00 MeV   7.457E-04  5.534E-07   10.26 m    419.95 mm   170.72 mm  
  15.00 MeV   7.040E-04  5.196E-07   11.64 m    464.43 mm   193.18 mm  
  16.00 MeV   6.670E-04  4.899E-07   13.09 m    509.67 mm   216.87 mm  
  17.00 MeV   6.341E-04  4.635E-07   14.63 m    555.68 mm   241.78 mm  
