 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 18, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17F_H2-iC4H10_95-5_740mbar.txt

 Ion = Fluorine [9] , Mass = 17 amu

 Target Density =  1.4630E-04 g/cm3 = 4.7517E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.950E-02  4.944E-02  153.62 um    29.89 um    23.80 um  
  11.00 keV   2.045E-02  4.866E-02  167.16 um    32.08 um    25.55 um  
  12.00 keV   2.136E-02  4.789E-02  180.69 um    34.21 um    27.27 um  
  13.00 keV   2.223E-02  4.712E-02  194.23 um    36.31 um    28.98 um  
  14.00 keV   2.307E-02  4.637E-02  207.76 um    38.37 um    30.66 um  
  15.00 keV   2.388E-02  4.564E-02  221.30 um    40.39 um    32.33 um  
  16.00 keV   2.467E-02  4.492E-02  234.85 um    42.38 um    33.98 um  
  17.00 keV   2.543E-02  4.423E-02  248.40 um    44.33 um    35.61 um  
  18.00 keV   2.616E-02  4.355E-02  261.95 um    46.26 um    37.24 um  
  20.00 keV   2.758E-02  4.226E-02  289.07 um    50.08 um    40.44 um  
  22.50 keV   2.925E-02  4.075E-02  322.97 um    54.72 um    44.39 um  
  25.00 keV   3.083E-02  3.936E-02  356.87 um    59.19 um    48.27 um  
  27.50 keV   3.234E-02  3.807E-02  390.73 um    63.49 um    52.09 um  
  30.00 keV   3.377E-02  3.687E-02  424.55 um    67.64 um    55.85 um  
  32.50 keV   3.515E-02  3.576E-02  458.29 um    71.65 um    59.56 um  
  35.00 keV   3.764E-02  3.472E-02  491.68 um    75.48 um    63.19 um  
