 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 17, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_H2-iC4H10_95-5_650mbar.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.2900E-04 g/cm3 = 4.1898E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.768E-02  2.622E-04  796.11 um   103.89 um   122.07 um  
  11.00 keV   1.844E-02  2.439E-04  849.31 um   106.08 um   125.87 um  
  12.00 keV   1.916E-02  2.282E-04  900.60 um   108.03 um   129.33 um  
  13.00 keV   1.983E-02  2.146E-04  950.22 um   109.79 um   132.50 um  
  14.00 keV   2.046E-02  2.026E-04  998.37 um   111.39 um   135.43 um  
  15.00 keV   2.106E-02  1.921E-04    1.05 mm   112.85 um   138.15 um  
  16.00 keV   2.162E-02  1.826E-04    1.09 mm   114.19 um   140.69 um  
  17.00 keV   2.215E-02  1.742E-04    1.14 mm   115.44 um   143.07 um  
  18.00 keV   2.265E-02  1.665E-04    1.18 mm   116.60 um   145.31 um  
  20.00 keV   2.356E-02  1.533E-04    1.26 mm   118.99 um   149.44 um  
  22.50 keV   2.457E-02  1.396E-04    1.37 mm   121.79 um   154.05 um  
  25.00 keV   2.545E-02  1.283E-04    1.46 mm   124.27 um   158.17 um  
  27.50 keV   2.621E-02  1.189E-04    1.56 mm   126.49 um   161.92 um  
  30.00 keV   2.686E-02  1.108E-04    1.65 mm   128.51 um   165.36 um  
  32.50 keV   2.743E-02  1.039E-04    1.74 mm   130.38 um   168.55 um  
