 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\20Mg_mylar.txt

 Ion = Magnesium [12] , Mass = 20 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   2.304E+03  7.938E+00    5.21 um     2527 A      3296 A   
   7.00 MeV   2.347E+03  7.466E+00    5.42 um     2553 A      3323 A   
   8.00 MeV   2.414E+03  6.684E+00    5.84 um     2633 A      3372 A   
   9.00 MeV   2.460E+03  6.059E+00    6.25 um     2706 A      3415 A   
  10.00 MeV   2.488E+03  5.548E+00    6.65 um     2775 A      3454 A   
  11.00 MeV   2.504E+03  5.122E+00    7.05 um     2841 A      3489 A   
  12.00 MeV   2.508E+03  4.760E+00    7.45 um     2904 A      3523 A   
  13.00 MeV   2.505E+03  4.449E+00    7.84 um     2966 A      3554 A   
  14.00 MeV   2.496E+03  4.179E+00    8.24 um     3026 A      3584 A   
  15.00 MeV   2.481E+03  3.942E+00    8.64 um     3085 A      3613 A   
  16.00 MeV   2.463E+03  3.732E+00    9.05 um     3144 A      3641 A   
  17.00 MeV   2.443E+03  3.545E+00    9.45 um     3203 A      3668 A   
  18.00 MeV   2.420E+03  3.376E+00    9.87 um     3261 A      3694 A   
  20.00 MeV   2.372E+03  3.086E+00   10.70 um     3479 A      3746 A   
  22.50 MeV   2.308E+03  2.790E+00   11.77 um     3805 A      3809 A   
  25.00 MeV   2.244E+03  2.549E+00   12.86 um     4121 A      3871 A   
  27.50 MeV   2.181E+03  2.348E+00   13.99 um     4431 A      3933 A   
  30.00 MeV   2.120E+03  2.179E+00   15.15 um     4736 A      3995 A   
  32.50 MeV   2.063E+03  2.033E+00   16.35 um     5039 A      4058 A   
  35.00 MeV   2.008E+03  1.907E+00   17.57 um     5341 A      4121 A   
  37.50 MeV   1.955E+03  1.796E+00   18.83 um     5641 A      4186 A   
  40.00 MeV   1.906E+03  1.699E+00   20.13 um     5941 A      4252 A   
  45.00 MeV   1.840E+03  1.533E+00   22.80 um     7056 A      4387 A   
  50.00 MeV   1.759E+03  1.399E+00   25.57 um     8093 A      4527 A   
