 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 19, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_H2-iC4H10_95-5_760mbar.txt.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.5030E-04 g/cm3 = 4.8816E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   2.888E-03  2.434E-06  581.29 mm    24.21 mm    10.34 mm  
   3.25 MeV   2.708E-03  2.265E-06  670.60 mm    27.42 mm    11.87 mm  
   3.50 MeV   2.550E-03  2.119E-06  765.62 mm    30.66 mm    13.51 mm  
   3.75 MeV   2.412E-03  1.991E-06  866.31 mm    33.95 mm    15.23 mm  
   4.00 MeV   2.289E-03  1.878E-06  972.60 mm    37.27 mm    17.04 mm  
   4.50 MeV   2.079E-03  1.689E-06    1.20 m     49.65 mm    20.94 mm  
   5.00 MeV   1.908E-03  1.536E-06    1.45 m     61.31 mm    25.19 mm  
   5.50 MeV   1.764E-03  1.409E-06    1.72 m     72.71 mm    29.79 mm  
   6.00 MeV   1.642E-03  1.302E-06    2.02 m     84.06 mm    34.72 mm  
   6.50 MeV   1.537E-03  1.211E-06    2.33 m     95.45 mm    39.99 mm  
   7.00 MeV   1.446E-03  1.132E-06    2.67 m    106.96 mm    45.59 mm  
   8.00 MeV   1.295E-03  1.003E-06    3.40 m    149.42 mm    57.77 mm  
   9.00 MeV   1.174E-03  9.014E-07    4.21 m    189.10 mm    71.23 mm  
  10.00 MeV   1.075E-03  8.190E-07    5.10 m    227.95 mm    85.92 mm  
  11.00 MeV   9.933E-04  7.510E-07    6.06 m    266.74 mm   101.85 mm  
  12.00 MeV   9.237E-04  6.937E-07    7.11 m    305.82 mm   118.97 mm  
  13.00 MeV   8.641E-04  6.449E-07    8.23 m    345.40 mm   137.28 mm  
  14.00 MeV   8.122E-04  6.027E-07    9.42 m    385.58 mm   156.75 mm  
  15.00 MeV   7.667E-04  5.660E-07   10.68 m    426.42 mm   177.37 mm  
  16.00 MeV   7.265E-04  5.336E-07   12.02 m    467.96 mm   199.13 mm  
  17.00 MeV   6.906E-04  5.048E-07   13.43 m    510.20 mm   222.00 mm  
  18.00 MeV   6.584E-04  4.791E-07   14.91 m    553.16 mm   245.97 mm  
  20.00 MeV   6.030E-04  4.351E-07   18.09 m    715.21 mm   297.21 mm  
  22.50 MeV   5.466E-04  3.906E-07   22.44 m    947.33 mm   367.25 mm  
  25.00 MeV   5.007E-04  3.546E-07   27.21 m      1.17 m    443.81 mm  
  27.50 MeV   4.626E-04  3.249E-07   32.40 m      1.38 m    526.72 mm  
  30.00 MeV   4.304E-04  3.000E-07   38.00 m      1.60 m    615.84 mm  
  32.50 MeV   4.028E-04  2.787E-07   44.00 m      1.82 m    711.03 mm  
  35.00 MeV   3.789E-04  2.604E-07   50.40 m      2.03 m    812.18 mm  
  37.50 MeV   3.580E-04  2.444E-07   57.18 m      2.25 m    919.16 mm  
  40.00 MeV   3.395E-04  2.303E-07   64.34 m      2.48 m      1.03 m   
  45.00 MeV   3.084E-04  2.066E-07   79.78 m      3.32 m      1.27 m   
  50.00 MeV   2.831E-04  1.875E-07   96.69 m      4.10 m      1.54 m   
  55.00 MeV   2.621E-04  1.718E-07  115.04 m      4.87 m      1.82 m   
  60.00 MeV   2.445E-04  1.585E-07  134.77 m      5.62 m      2.13 m   
  65.00 MeV   2.294E-04  1.472E-07  155.88 m      6.38 m      2.45 m   
  70.00 MeV   2.163E-04  1.375E-07  178.31 m      7.15 m      2.80 m   
  80.00 MeV   1.948E-04  1.215E-07  226.99 m      9.96 m      3.54 m   
  90.00 MeV   1.779E-04  1.090E-07  280.68 m     12.55 m      4.35 m   
 100.00 MeV   1.642E-04  9.887E-08  339.17 m     15.07 m      5.23 m   
 110.00 MeV   1.528E-04  9.052E-08  402.27 m     17.55 m      6.18 m   
 120.00 MeV   1.433E-04  8.351E-08  469.80 m     20.03 m      7.18 m   
 130.00 MeV   1.352E-04  7.754E-08  541.61 m     22.50 m      8.24 m   
 140.00 MeV   1.282E-04  7.239E-08  617.54 m     24.98 m      9.35 m   
 150.00 MeV   1.220E-04  6.790E-08  697.44 m     27.47 m     10.52 m   
 160.00 MeV   1.167E-04  6.395E-08  781.19 m     29.97 m     11.73 m   
 170.00 MeV   1.119E-04  6.045E-08  868.65 m     32.48 m     12.99 m   
 180.00 MeV   1.076E-04  5.733E-08  959.70 m     35.01 m     14.29 m   
 200.00 MeV   1.004E-04  5.198E-08    1.15 km    44.44 m     17.02 m   
 225.00 MeV   9.307E-05  4.659E-08    1.41 km    57.69 m     20.65 m   
 250.00 MeV   8.720E-05  4.224E-08    1.69 km    69.91 m     24.49 m   
 275.00 MeV   8.238E-05  3.866E-08    1.98 km    81.55 m     28.52 m   
 300.00 MeV   7.836E-05  3.565E-08    2.29 km    92.81 m     32.71 m   
 325.00 MeV   7.495E-05  3.309E-08    2.62 km   103.80 m     37.05 m   
 350.00 MeV   7.204E-05  3.088E-08    2.96 km   114.57 m     41.53 m   
 375.00 MeV   6.952E-05  2.896E-08    3.31 km   125.16 m     46.12 m   
 400.00 MeV   6.732E-05  2.727E-08    3.68 km   135.58 m     50.81 m   
 450.00 MeV   6.367E-05  2.443E-08    4.44 km   173.65 m     60.46 m   
 500.00 MeV   6.078E-05  2.214E-08    5.25 km   207.85 m     70.40 m   
