 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17F_CF4_80mbar.txt

 Ion = Fluorine [9] , Mass = 17 amu

 Target Density =  2.9000E-04 g/cm3 = 9.9223E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.028E-02  3.180E-02  185.86 um    86.07 um    60.87 um  
  11.00 keV   1.079E-02  3.139E-02  203.31 um    92.98 um    65.67 um  
  12.00 keV   1.127E-02  3.096E-02  220.86 um    99.82 um    70.44 um  
  13.00 keV   1.173E-02  3.054E-02  238.50 um   106.59 um    75.18 um  
  14.00 keV   1.217E-02  3.012E-02  256.23 um   113.29 um    79.90 um  
  15.00 keV   1.260E-02  2.970E-02  274.05 um   119.92 um    84.60 um  
  16.00 keV   1.301E-02  2.929E-02  291.97 um   126.50 um    89.28 um  
  17.00 keV   1.341E-02  2.889E-02  309.97 um   133.02 um    93.95 um  
  18.00 keV   1.380E-02  2.850E-02  328.05 um   139.47 um    98.61 um  
  20.00 keV   1.454E-02  2.774E-02  364.48 um   152.20 um   107.92 um  
  22.50 keV   1.543E-02  2.684E-02  410.43 um   167.81 um   119.51 um  
  25.00 keV   1.626E-02  2.600E-02  456.78 um   183.11 um   131.06 um  
  27.50 keV   1.705E-02  2.522E-02  503.49 um   198.09 um   142.55 um  
  30.00 keV   1.781E-02  2.449E-02  550.49 um   212.76 um   154.00 um  
  32.50 keV   1.854E-02  2.380E-02  597.76 um   227.14 um   165.40 um  
  35.00 keV   1.959E-02  2.316E-02  645.04 um   241.11 um   176.77 um  
