 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17O_iC4H10_6mbar.txt

 Ion = Oxygen [8] , Mass = 17 amu

 Target Density =  1.4000E-05 g/cm3 = 2.0308E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.50 MeV   1.819E-02  9.842E-05  241.40 mm    10.10 mm    12.51 mm  
   2.75 MeV   1.906E-02  9.106E-05  254.73 mm    10.33 mm    12.73 mm  
   3.00 MeV   1.982E-02  8.480E-05  267.50 mm    10.54 mm    12.92 mm  
   3.25 MeV   2.048E-02  7.941E-05  279.84 mm    10.72 mm    13.10 mm  
   3.50 MeV   2.104E-02  7.471E-05  291.82 mm    10.90 mm    13.25 mm  
   3.75 MeV   2.151E-02  7.058E-05  303.51 mm    11.06 mm    13.40 mm  
   4.00 MeV   2.191E-02  6.690E-05  314.97 mm    11.21 mm    13.54 mm  
   4.50 MeV   2.250E-02  6.067E-05  337.40 mm    11.71 mm    13.78 mm  
   5.00 MeV   2.289E-02  5.557E-05  359.34 mm    12.16 mm    14.00 mm  
   5.50 MeV   2.313E-02  5.131E-05  381.00 mm    12.58 mm    14.20 mm  
   6.00 MeV   2.324E-02  4.770E-05  402.51 mm    12.99 mm    14.38 mm  
   6.50 MeV   2.327E-02  4.460E-05  423.95 mm    13.37 mm    14.56 mm  
   7.00 MeV   2.323E-02  4.190E-05  445.40 mm    13.75 mm    14.72 mm  
   8.00 MeV   2.301E-02  3.742E-05  488.56 mm    15.10 mm    15.03 mm  
   9.00 MeV   2.268E-02  3.386E-05  532.24 mm    16.37 mm    15.32 mm  
  10.00 MeV   2.228E-02  3.096E-05  576.65 mm    17.58 mm    15.60 mm  
  11.00 MeV   2.185E-02  2.854E-05  621.89 mm    18.76 mm    15.87 mm  
  12.00 MeV   2.140E-02  2.649E-05  668.07 mm    19.90 mm    16.13 mm  
  13.00 MeV   2.095E-02  2.474E-05  715.23 mm    21.03 mm    16.39 mm  
  14.00 MeV   2.049E-02  2.321E-05  763.43 mm    22.15 mm    16.65 mm  
  15.00 MeV   2.004E-02  2.188E-05  812.72 mm    23.26 mm    16.91 mm  
  16.00 MeV   1.960E-02  2.069E-05  863.11 mm    24.37 mm    17.17 mm  
  17.00 MeV   1.917E-02  1.964E-05  914.64 mm    25.47 mm    17.43 mm  
  18.00 MeV   1.875E-02  1.869E-05  967.33 mm    26.58 mm    17.69 mm  
  20.00 MeV   1.795E-02  1.706E-05    1.08 m     30.79 mm    18.23 mm  
  22.50 MeV   1.702E-02  1.541E-05    1.22 m     36.91 mm    18.92 mm  
  25.00 MeV   1.617E-02  1.406E-05    1.37 m     42.69 mm    19.64 mm  
  27.50 MeV   1.539E-02  1.294E-05    1.53 m     48.28 mm    20.40 mm  
  30.00 MeV   1.468E-02  1.199E-05    1.69 m     53.78 mm    21.20 mm  
  32.50 MeV   1.403E-02  1.118E-05    1.87 m     59.22 mm    22.04 mm  
  35.00 MeV   1.347E-02  1.048E-05    2.05 m     64.63 mm    22.92 mm  
  37.50 MeV   1.294E-02  9.864E-06    2.24 m     70.03 mm    23.84 mm  
  40.00 MeV   1.238E-02  9.321E-06    2.44 m     75.46 mm    24.81 mm  
  45.00 MeV   1.151E-02  8.405E-06    2.86 m     96.07 mm    26.88 mm  
  50.00 MeV   1.079E-02  7.660E-06    3.30 m    115.26 mm    29.12 mm  
  55.00 MeV   1.017E-02  7.042E-06    3.78 m    133.69 mm    31.53 mm  
  60.00 MeV   9.627E-03  6.521E-06    4.29 m    151.71 mm    34.10 mm  
  65.00 MeV   9.144E-03  6.076E-06    4.82 m    169.53 mm    36.83 mm  
  70.00 MeV   8.712E-03  5.690E-06    5.38 m    187.26 mm    39.72 mm  
  80.00 MeV   7.973E-03  5.054E-06    6.58 m    252.98 mm    45.93 mm  
  90.00 MeV   7.360E-03  4.552E-06    7.88 m    313.44 mm    52.71 mm  
 100.00 MeV   6.843E-03  4.145E-06    9.29 m    371.70 mm    60.03 mm  
 110.00 MeV   6.399E-03  3.807E-06   10.80 m    429.04 mm    67.87 mm  
 120.00 MeV   6.012E-03  3.523E-06   12.42 m    486.16 mm    76.21 mm  
 130.00 MeV   5.673E-03  3.280E-06   14.13 m    543.44 mm    85.04 mm  
 140.00 MeV   5.371E-03  3.070E-06   15.94 m    601.13 mm    94.36 mm  
 150.00 MeV   5.101E-03  2.886E-06   17.85 m    659.40 mm   104.15 mm  
 160.00 MeV   4.858E-03  2.724E-06   19.86 m    718.35 mm   114.41 mm  
 170.00 MeV   4.638E-03  2.580E-06   21.96 m    778.06 mm   125.14 mm  
 180.00 MeV   4.438E-03  2.451E-06   24.17 m    838.58 mm   136.33 mm  
 200.00 MeV   4.086E-03  2.230E-06   28.86 m      1.07 m    160.11 mm  
 225.00 MeV   3.720E-03  2.006E-06   35.27 m      1.40 m    192.40 mm  
 250.00 MeV   3.416E-03  1.824E-06   42.29 m      1.72 m    227.53 mm  
