============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(76.5 MeV) ==> Mylar_IC+CF4_IC+Mylar_CF( 45.6 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  221  9 .5662879E+08   4561631E+02  .9470E+06 -.1379E+07   .9999860  .0048892 -.0020086
T  222  9 .5634561E+08   4561630E+02  .1790E+07  .2775E+07   .9999784  .0039526  .0052467
T  223  9 .5636992E+08   4561630E+02 -.3458E+07 -.5666E+06   .9999818 -.0060249  .0000292
T  224  9 .5654772E+08   4561630E+02  .3274E+07  .1174E+05   .9999377  .0103669  .0041404
T  225  9 .5641257E+08   4561630E+02 -.4728E+06 -.1352E+07   .9999947 -.0002254 -.0032425
T  226  9 .5659047E+08   4561630E+02  .1163E+07  .5240E+06   .9999989  .0000497  .0014594
T  227  9 .5628066E+08   4561631E+02  .2395E+06  .8743E+06   .9999887  .0042084  .0021943
T  228  9 .5630458E+08   4561630E+02 -.8653E+06  .2024E+07   .9999542 -.0032479  .0090057
T  229  9 .5643668E+08   4561630E+02 -.1368E+07 -.8847E+05   .9999856  .0010827 -.0052480
T  230  9 .5660604E+08   4561631E+02 -.1031E+07  .7067E+06   .9999787 -.0049135  .0042883
T  231  9 .5666271E+08   4561631E+02  .4464E+07 -.3466E+07   .9998819  .0125372 -.0088850
T  232  9 .5652833E+08   4561630E+02  .2190E+06 -.6889E+06   .9999970 -.0019366 -.0015186
T  233  9 .5638913E+08   4561631E+02  .2775E+07 -.3432E+07   .9999391  .0088659 -.0065760
T  234  9 .5636981E+08   4561630E+02 -.4179E+07  .7069E+06   .9999371 -.0104469  .0040918
T  235  9 .5647146E+08   4561630E+02 -.9344E+06 -.1430E+07   .9999848 -.0040709 -.0037100
T  236  9 .5643230E+08   4561630E+02  .1261E+07  .2072E+07   .9999939 -.0000972  .0034828
T  237  9 .5651319E+08   4561630E+02 -.1116E+07  .1669E+07   .9999925 -.0016834  .0034766
T  238  9 .5663521E+08   4561630E+02  .2414E+07  .1059E+07   .9999765  .0061649  .0030042
T  239  9 .5637463E+08   4561631E+02 -.3050E+06  .3973E+06   .9999969  .0004495 -.0024328
T  240  9 .5655813E+08   4561631E+02  .1721E+07  .4310E+07   .9998743  .0064938  .0144623
T  241  9 .5647599E+08   4561630E+02 -.4606E+06 -.9751E+06   .9999919  .0009393 -.0039025
T  242  9 .5668826E+08   4561630E+02  .1194E+07  .1576E+07   .9999727  .0066900  .0031477
T  243  9 .5650069E+08   4561630E+02  .1613E+07 -.1207E+07   .9999969  .0015094 -.0019779
T  244  9 .5661572E+08   4561631E+02 -.3565E+06 -.4951E+06   .9999999 -.0000632  .0001641
T  245  9 .5643054E+08   4561631E+02 -.2867E+07  .1192E+07   .9999774 -.0066159  .0011857
T  246  9 .5655533E+08   4561631E+02 -.1108E+07  .8349E+06   .9999823 -.0044480  .0039412
T  247  9 .5620580E+08   4561631E+02  .1160E+07  .1771E+07   .9999679  .0075004  .0028015
T  248  9 .5654423E+08   4561630E+02  .2898E+07 -.2614E+07   .9999488  .0058024 -.0082849
T  249  9 .5638702E+08   4561630E+02  .6561E+05  .1291E+06   .9999980  .0003417 -.0019762
T  250  9 .5667905E+08   4561630E+02  .7377E+06  .8771E+05   .9999905  .0032888  .0028731
T  251  9 .5663939E+08   4561631E+02  .1202E+07  .9939E+06   .9999849  .0053337  .0013566
T  252  9 .5639112E+08   4561630E+02 -.4614E+07  .2797E+07   .9997319 -.0193872  .0126573
T  253  9 .5667464E+08   4561630E+02 -.3115E+07 -.6230E+06   .9999741 -.0071987 -.0001303
T  254  9 .5629517E+08   4561630E+02  .1125E+07 -.5411E+06   .9999959  .0026109  .0011879
T  255  9 .5663341E+08   4561630E+02  .5904E+05 -.2430E+07   .9999711  .0006484 -.0075747
T  256  9 .5642300E+08   4561630E+02  .4814E+06  .1964E+06   .9999904  .0043896 -.0001192
T  257  9 .5660879E+08   4561631E+02  .1076E+06  .7602E+06   .9999990  .0013786  .0003624
T  258  9 .5632228E+08   4561630E+02 -.2486E+07 -.5509E+06   .9999787 -.0064995 -.0006208
T  259  9 .5653691E+08   4561630E+02 -.3036E+06 -.1771E+07   .9999733 -.0035679 -.0063789
T  260  9 .5648670E+08   4561631E+02  .2985E+07 -.6764E+06   .9999653  .0071658 -.0042600
T  261  9 .5635571E+08   4561631E+02 -.1133E+07  .1301E+07   .9999886  .0005147  .0047523
T  262  9 .5655649E+08   4561630E+02 -.6896E+06  .1196E+07   .9999715 -.0021740  .0072291
T  263  9 .5619100E+08   4561630E+02  .5796E+07 -.3001E+07   .9999136  .0106207 -.0077426
T  264  9 .5648766E+08   4561630E+02 -.3363E+07  .7734E+06   .9999752 -.0065434  .0026038
T  265  9 .5652491E+08   4561630E+02  .1728E+07  .1950E+06   .9999984 -.0012887 -.0012162
T  266  9 .5663664E+08   4561630E+02 -.4137E+06  .2846E+06   .9999997 -.0004723 -.0006054
T  267  9 .5638606E+08   4561630E+02  .1167E+06 -.8213E+06   .9999875  .0013720 -.0048038
T  268  9 .5662548E+08   4561630E+02  .7000E+06 -.5502E+06   .9999989  .0007654 -.0012450
T  269  9 .5641545E+08   4561631E+02 -.2126E+07  .5226E+05   .9999859 -.0051816  .0011304
T  270  9 .5663763E+08   4561630E+02  .9314E+06  .1542E+07   .9999787  .0019970  .0062197
T  271  9 .5653582E+08   4561631E+02  .5560E+06  .3366E+07   .9999625 -.0006064  .0086355
T  272  9 .5671494E+08   4561630E+02 -.2171E+07 -.1117E+07   .9999737 -.0050735 -.0051842
T  273  9 .5644005E+08   4561630E+02  .8457E+06  .6006E+06   .9999897  .0040803  .0019880
T  274  9 .5672709E+08   4561631E+02 -.6431E+07 -.3150E+06   .9998703 -.0160430  .0014396
T  275  9 .5665143E+08   4561630E+02 -.5615E+06  .1427E+06   .9999932  .0007593  .0036126
T  276  9 .5626738E+08   4561631E+02 -.3122E+07 -.2129E+07   .9999654 -.0070212 -.0044596
T  277  9 .5658516E+08   4561630E+02 -.1102E+07 -.2405E+07   .9999872 -.0010702 -.0049444
T  278  9 .5653467E+08   4561630E+02 -.3432E+06  .1723E+07   .9999968 -.0009032  .0023474
T  279  9 .5648645E+08   4561630E+02 -.3546E+07 -.1950E+07   .9999255 -.0122022 -.0003808
T  280  9 .5665766E+08   4561630E+02  .4289E+06  .2107E+07   .9999819  .0004091  .0060108
T  281  9 .5663814E+08   4561631E+02  .5892E+06 -.7374E+06   .9999914  .0027616 -.0030827
T  282  9 .5672552E+08   4561630E+02  .5999E+06 -.5736E+06   .9999967  .0014843 -.0020997
T  283  9 .5620289E+08   4561630E+02  .1037E+06  .7562E+06   .9999976  .0015593  .0015198
T  284  9 .5640327E+08   4561631E+02  .4648E+07  .3356E+07   .9998810  .0139589  .0065648
T  285  9 .5629210E+08   4561630E+02 -.1763E+07  .1272E+06   .9999640 -.0084630  .0006577
T  286  9 .5689081E+08   4561630E+02 -.1970E+07 -.2992E+07   .9999487 -.0043209 -.0091664
T  287  9 .5664137E+08   4561630E+02  .7091E+06 -.4424E+06   .9999914  .0030174 -.0028591
T  288  9 .5663363E+08   4561630E+02  .8779E+06 -.5277E+06   .9999860  .0032221 -.0042075
T  289  9 .5635810E+08   4561630E+02  .9728E+06  .1378E+07   .9999979  .0006188  .0019751
T  290  9 .5636257E+08   4561630E+02 -.5820E+05 -.2484E+07   .9999737 -.0010535 -.0071727
T  291  9 .5653273E+08   4561630E+02  .2784E+06  .2572E+07   .9999928  .0022983  .0030345
T  292  9 .5648251E+08   4561630E+02 -.3014E+06  .2210E+07   .9999774 -.0014417  .0065678
T  293  9 .5654058E+08   4561630E+02 -.1564E+07 -.6377E+06   .9999695 -.0062719 -.0046618
T  294  9 .5666317E+08   4561630E+02  .1938E+07 -.2257E+07   .9999599  .0072525 -.0052476
T  295  9 .5639706E+08   4561630E+02 -.1115E+07  .3300E+06   .9999325 -.0011144  .0115673
T  296  9 .5658006E+08   4561631E+02  .1793E+07 -.7609E+06   .9999776  .0066640 -.0006416
T  297  9 .5660211E+08   4561630E+02  .8572E+06 -.3264E+06   .9999905  .0041710  .0012551
T  298  9 .5654442E+08   4561630E+02  .2329E+06 -.1198E+07   .9999942  .0015014 -.0030507
T  299  9 .5659592E+08   4561630E+02  .4897E+06 -.1191E+07   .9999905  .0020373 -.0038482
T  300  9 .5670321E+08   4561631E+02  .1303E+07 -.6796E+06   .9999893  .0042218 -.0018933
T  301  9 .5667172E+08   4561630E+02  .2005E+07 -.1461E+06   .9999820  .0048783  .0035010
T  302  9 .5649198E+08   4561631E+02  .1291E+07  .6016E+06   .9999918  .0039865 -.0007239
T  303  9 .5642894E+08   4561630E+02  .2655E+07  .4602E+06   .9999522  .0097144 -.0010715
T  304  9 .5647327E+08   4561630E+02 -.1195E+07 -.2059E+07   .9999847 -.0044544 -.0032825
T  305  9 .5629087E+08   4561631E+02  .4333E+07 -.1159E+07   .9999368  .0095523 -.0059331
T  306  9 .5665670E+08   4561630E+02  .1487E+07  .1380E+07   .9999855  .0026478  .0046988
T  307  9 .5672916E+08   4561630E+02 -.2548E+07  .5279E+06   .9999853 -.0050304  .0020374
T  308  9 .5614063E+08   4561630E+02 -.4314E+07  .9286E+06   .9999556 -.0092686  .0017276
T  309  9 .5672034E+08   4561630E+02  .9473E+06 -.9716E+06   .9999891  .0039011 -.0025747
T  310  9 .5659085E+08   4561630E+02 -.2164E+07  .3223E+07   .9999711 -.0044501  .0061687
T  311  9 .5628199E+08   4561630E+02  .1016E+07  .4000E+06   .9999947  .0031489 -.0007955
T  312  9 .5651187E+08   4561631E+02  .2624E+07 -.9023E+06   .9999730  .0067119 -.0029885
T  313  9 .5668863E+08   4561630E+02 -.4050E+07  .1939E+06   .9999082 -.0134140  .0019070
T  314  9 .5650531E+08   4561630E+02  .4467E+06 -.1463E+07   .9999812  .0028345 -.0054401
T  315  9 .5667755E+08   4561630E+02  .6758E+06 -.3632E+07   .9999260 -.0006039 -.0121539
T  316  9 .5647577E+08   4561631E+02 -.7766E+07 -.1656E+08   .9991929 -.0195625 -.0350836
T  317  9 .5653833E+08   4561630E+02  .3448E+07 -.7016E+05   .9999240  .0122601  .0012712
T  318  9 .5655820E+08   4561630E+02 -.1762E+07 -.7670E+06   .9999795 -.0063248 -.0010256
T  319  9 .5638616E+08   4561630E+02  .1895E+06  .8280E+06   .9999980  .0015956  .0011942
T  320  9 .5627684E+08   4561630E+02 -.2220E+07 -.1538E+07   .9999620 -.0077057 -.0040767
T  321  9 .5642152E+08   4561631E+02  .1913E+07 -.4201E+06   .9999785  .0052056 -.0039939
T  322  9 .5645172E+08   4561631E+02  .1192E+07  .6853E+05   .9999934 -.0004987  .0035949
T  323  9 .5641450E+08   4561630E+02  .4042E+05  .8708E+06   .9999936 -.0018765  .0030532
T  324  9 .5624157E+08   4561630E+02 -.2390E+07 -.1195E+07   .9999657 -.0082712 -.0005115
T  325  9 .5660599E+08   4561630E+02 -.6957E+06  .3749E+06   .9999950 -.0002165  .0031693
T  326  9 .5639931E+08   4561630E+02 -.1592E+07 -.3896E+07   .9999282 -.0060868 -.0103213
T  327  9 .5682226E+08   4561630E+02 -.4045E+06  .8443E+06   .9999986 -.0016441 -.0004085
T  328  9 .5655036E+08   4561630E+02 -.9528E+06  .1067E+07   .9999883 -.0047329 -.0009920
T  329  9 .5647127E+08   4561630E+02  .6047E+06  .3885E+06   .9999902  .0043965 -.0004251
T  330  9 .5632329E+08   4561631E+02 -.1713E+07  .1189E+07   .9999944 -.0025750  .0021155
T  331  9 .5657018E+08   4561631E+02  .1755E+07  .2069E+07   .9999353  .0109722  .0029963
T  332  9 .5659869E+08   4561631E+02  .1271E+07  .1398E+07   .9999722  .0069310  .0027346
T  333  9 .5654836E+08   4561630E+02 -.7045E+06 -.2893E+07   .9999671 -.0001927 -.0081075
T  334  9 .5663278E+08   4561630E+02 -.8577E+06 -.1391E+06   .9999906 -.0033476 -.0027734
T  335  9 .5651112E+08   4561631E+02 -.4057E+06  .5841E+07   .9996966 -.0105933  .0222351
T  336  9 .5653053E+08   4561630E+02 -.1288E+06  .5561E+06   .9999990 -.0009269  .0010687
T  337  9 .5652727E+08   4561630E+02 -.4748E+06  .1464E+07   .9999777  .0003063  .0066706
T  338  9 .5658744E+08   4561631E+02  .1164E+07 -.2461E+07   .9999751  .0042803 -.0056077
T  339  9 .5625495E+08   4561631E+02  .1806E+07  .1518E+07   .9999490  .0054384  .0085103
T  340  9 .5656348E+08   4561630E+02  .6229E+06 -.1462E+07   .9999792 -.0002098 -.0064486
T  341  9 .5630391E+08   4561630E+02 -.1205E+07  .2241E+07   .9999861 -.0028854  .0044233
T  342  9 .5673945E+08   4561630E+02 -.1065E+05  .1821E+07   .9999982  .0014697  .0012270
T  343  9 .5637822E+08   4561630E+02  .1090E+07  .1808E+06   .9999883  .0047128 -.0010648
T  344  9 .5619079E+08   4561631E+02  .4309E+07  .3885E+07   .9984851  .0418794  .0356872
T  345  9 .5664357E+08   4561630E+02 -.3590E+06 -.1572E+07   .9999843 -.0006712 -.0055557
T  346  9 .5660226E+08   4561630E+02  .1758E+06 -.2108E+07   .9999881 -.0026401 -.0041026
T  347  9 .5662119E+08   4561631E+02 -.1710E+07 -.2950E+05   .9999714 -.0073729 -.0016901
T  348  9 .5643772E+08   4561630E+02 -.1416E+07  .2241E+07   .9999415 -.0068161  .0084015
T  349  9 .5641075E+08   4561630E+02  .2858E+06  .6241E+06   .9999734  .0056964 -.0045586
T  350  9 .5657955E+08   4561631E+02  .5418E+07 -.1829E+06   .9996105  .0279053  .0004168
T  351  9 .5656425E+08   4561630E+02  .3166E+07 -.8958E+07   .9997936  .0079411 -.0187000
T  352  9 .5651735E+08   4561631E+02  .9817E+06 -.1026E+06   .9999947  .0023243 -.0022641
T  353  9 .5624711E+08   4561630E+02 -.9162E+06 -.3642E+07   .9999056 -.0046182 -.0129397
T  354  9 .5679827E+08   4561631E+02 -.2012E+07  .7150E+06   .9999915 -.0024077  .0033558
T  355  9 .5678845E+08   4561630E+02 -.1258E+07  .3410E+07   .9999084 -.0074241  .0113154
T  356  9 .5641886E+08   4561631E+02 -.1941E+06  .2639E+05   .9999887 -.0047473  .0001581
T  357  9 .5644946E+08   4561630E+02  .1118E+07  .1414E+07   .9999873  .0010818  .0049179
T  358  9 .5651221E+08   4561630E+02  .4564E+07  .4592E+07   .9998596  .0110580  .0125929
T  359  9 .5657163E+08   4561631E+02 -.5492E+07  .1128E+07   .9998514 -.0171939  .0012748
T  360  9 .5678430E+08   4561631E+02 -.1411E+06 -.1632E+07   .9999935  .0000301 -.0036019
T  361  9 .5655485E+08   4561631E+02  .1038E+07 -.2645E+07   .9999398  .0062001 -.0090475
T  362  9 .5674112E+08   4561631E+02 -.1733E+07  .4541E+06   .9999875 -.0046622 -.0018326
T  363  9 .5648665E+08   4561631E+02  .1686E+07 -.1844E+07   .9999528  .0079884 -.0055241
T  364  9 .5638208E+08   4561631E+02  .7025E+06  .2757E+07   .9999634  .0009867  .0085007
T  365  9 .5647778E+08   4561630E+02 -.2286E+07  .1097E+07   .9999853 -.0045085  .0030259
T  366  9 .5665300E+08   4561631E+02  .2369E+06 -.3668E+07   .9999794 -.0019917 -.0061098
T  367  9 .5634466E+08   4561630E+02 -.5986E+06  .9362E+06   .9999722 -.0034642  .0066009
T  368  9 .5674874E+08   4561631E+02 -.1982E+07 -.7766E+06   .9999889 -.0018372 -.0043322
T  369  9 .5661395E+08   4561631E+02  .5502E+06  .3246E+07   .9999421 -.0001222  .0107597
T  370  9 .5643015E+08   4561630E+02  .1524E+07 -.1704E+07   .9999856  .0050302  .0018824
T  371  9 .5626918E+08   4561630E+02 -.3806E+07 -.3351E+07   .9999230 -.0097316 -.0076937
T  372  9 .5669023E+08   4561631E+02 -.1575E+07 -.3097E+06   .9999888 -.0047158  .0003763
T  373  9 .5661380E+08   4561630E+02  .2191E+07  .6501E+06   .9999519  .0093342  .0030232
T  374  9 .5636991E+08   4561630E+02  .3965E+06  .2296E+06   .9999993  .0011732  .0002947
T  375  9 .5643562E+08   4561631E+02  .1309E+07  .1598E+07   .9999837  .0021733  .0052870
T  376  9 .5653742E+08   4561631E+02 -.1065E+07 -.6842E+06   .9999943 -.0031644  .0012132
T  377  9 .5661336E+08   4561630E+02  .2865E+07  .1676E+07   .9999654  .0042666  .0071383
T  378  9 .5666487E+08   4561631E+02  .1933E+07 -.4904E+06   .9999969  .0023743  .0006837
T  379  9 .5655879E+08   4561630E+02 -.3616E+07  .1041E+07   .9998851 -.0142729  .0051064
T  380  9 .5651890E+08   4561630E+02 -.8980E+06 -.9967E+06   .9999906 -.0022732 -.0036962
T  381  9 .5637465E+08   4561630E+02 -.8372E+06 -.1634E+07   .9999799 -.0023484 -.0058959
T  382  9 .5643848E+08   4561630E+02  .2600E+06 -.3726E+06   .9999980  .0018252 -.0007879
T  383  9 .5671978E+08   4561630E+02 -.6441E+06 -.1554E+07   .9999746 -.0047865 -.0052780
T  384  9 .5631187E+08   4561630E+02 -.1336E+07 -.3421E+07   .9998167 -.0070325 -.0178061
T  385  9 .5644650E+08   4561631E+02  .5286E+06 -.1575E+07   .9999886  .0033125 -.0034379
T  386  9 .5652274E+08   4561630E+02 -.1353E+07  .7196E+06   .9999915 -.0039476  .0012197
T  387  9 .5684149E+08   4561631E+02 -.1605E+06  .1702E+07   .9999793  .0031807  .0056010
T  388  9 .5653862E+08   4561631E+02 -.4828E+06 -.1698E+07   .9999901 -.0004196 -.0044276
T  389  9 .5626969E+08   4561631E+02  .6369E+06  .3176E+06   .9999980  .0003537  .0019684
T  390  9 .5690908E+08   4561630E+02  .6871E+06 -.1364E+07   .9999989 -.0001566 -.0015038
T  391  9 .5630827E+08   4561631E+02  .7674E+06 -.1521E+06   .9999974  .0018180  .0013898
T  392  9 .5632545E+08   4561630E+02 -.9865E+06 -.1328E+07   .9999981 -.0006263 -.0018313
T  393  9 .5663217E+08   4561630E+02  .3794E+07 -.1118E+08   .9996990  .0086610 -.0229558
T  394  9 .5646676E+08   4561631E+02 -.1461E+07  .1316E+07   .9999970 -.0024695 -.0000394
T  395  9 .5571702E+08   4561630E+02 -.3029E+08  .1363E+08   .9972911 -.0669729  .0304164
T  396  9 .5666244E+08   4561630E+02  .9551E+06 -.7952E+06   .9999917 -.0006622 -.0040146
T  397  9 .5663526E+08   4561631E+02 -.2534E+07 -.1019E+05   .9999872 -.0049976  .0008064
T  398  9 .5649242E+08   4561630E+02 -.2674E+07 -.3056E+07   .9999314 -.0069906 -.0093971
T  399  9 .5685666E+08   4561630E+02  .6956E+06  .1182E+07   .9999979  .0014449  .0014416
T  400  9 .5651130E+08   4561630E+02  .1128E+07  .9086E+06   .9999889  .0025299  .0039828
T  401  9 .5637737E+08   4561630E+02 -.4551E+06 -.1265E+07   .9999779 -.0032432 -.0057955
T  402  9 .5642191E+08   4561631E+02 -.1220E+07  .1674E+07   .9999709 -.0059590  .0047688
T  403  9 .5635942E+08   4561630E+02 -.2335E+06  .1135E+07   .9999942 -.0014422  .0030829
T  404  9 .5679162E+08   4561630E+02  .1350E+07  .1277E+07   .9999965  .0017369  .0020133
T  405  9 .5654839E+08   4561631E+02  .2187E+07  .3526E+06   .9999787  .0063759  .0013762
T  406  9 .5637386E+08   4561630E+02 -.1514E+07  .2589E+06   .9999873 -.0047404 -.0016843
T  407  9 .5661821E+08   4561630E+02  .1069E+07  .1350E+07   .9999616  .0071534  .0050625
T  408  9 .5642410E+08   4561630E+02 -.1286E+07  .7398E+06   .9999722 -.0074607 -.0001651
T  409  9 .5640095E+08   4561630E+02 -.1278E+07 -.1230E+07   .9999883 -.0026017 -.0040871
T  410  9 .5636011E+08   4561630E+02  .6216E+06 -.1761E+07   .9999576  .0027298 -.0087993
T  411  9 .5645462E+08   4561630E+02  .7060E+06 -.5513E+07   .9997459  .0031379 -.0223222
T  412  9 .5629903E+08   4561630E+02 -.9324E+06  .2918E+06   .9999938 -.0032605 -.0012998
T  413  9 .5668454E+08   4561630E+02 -.2080E+07  .3624E+06   .9999998  .0006286  .0000578
T  414  9 .5659919E+08   4561630E+02  .1984E+07 -.3509E+07   .9999581  .0051572 -.0075624
T  415  9 .5675616E+08   4561630E+02  .4972E+06  .1216E+07   .9999921  .0006383  .0039220
T  416  9 .5661895E+08   4561630E+02 -.2830E+07  .2218E+07   .9999556 -.0070378  .0062697
T  417  9 .5628917E+08   4561630E+02  .4166E+06  .6785E+06   .9999854  .0023412  .0048683
T  418  9 .5643431E+08   4561630E+02  .5105E+06 -.7163E+06   .9999891  .0041951 -.0020673
T  419  9 .5662483E+08   4561630E+02  .7701E+06  .1808E+07   .9999951  .0001684  .0031417
T  420  9 .5662602E+08   4561630E+02  .4484E+07 -.1585E+07   .9999466  .0098803 -.0030324
T  421  9 .5628326E+08   4561630E+02 -.7139E+07 -.9121E+07   .9995616 -.0183353 -.0232462
T  422  9 .5657467E+08   4561630E+02 -.1488E+07  .2522E+06   .9999903 -.0043749 -.0005893
T  423  9 .5671043E+08   4561631E+02  .1359E+07 -.2474E+07   .9999629  .0075827 -.0040840
T  424  9 .5625740E+08   4561631E+02 -.1331E+07  .2370E+07   .9999587 -.0047568  .0077380
T  425  9 .5619831E+08   4561630E+02  .1089E+07  .8292E+06   .9999984  .0017388 -.0002852
T  426  9 .5667579E+08   4561631E+02 -.5007E+06  .1806E+07   .9999944 -.0032636  .0007543
T  427  9 .5667887E+08   4561631E+02  .8438E+06 -.1953E+07   .9999966  .0017084 -.0019608
T  428  9 .5649046E+08   4561630E+02 -.3287E+07  .1450E+07   .9999658 -.0079937  .0021045
T  429  9 .5648336E+08   4561630E+02 -.1609E+07 -.2370E+07   .9999966 -.0004100 -.0025794
T  430  9 .5651326E+08   4561630E+02 -.6603E+06  .3426E+07   .9999354  .0006390  .0113473
T  431  9 .5652777E+08   4561630E+02  .7819E+06 -.4373E+07   .9999279  .0027834 -.0116807
T  432  9 .5633624E+08   4561631E+02 -.1889E+07  .2198E+07   .9996680 -.0214218  .0143173
T  433  9 .5651568E+08   4561631E+02  .1179E+07 -.1243E+07   .9999922  .0020922 -.0033550
T  434  9 .5655066E+08   4561631E+02  .1255E+06  .9285E+05   .9999974 -.0022830 -.0001997
T  435  9 .5645662E+08   4561630E+02 -.8533E+06  .2376E+06   .9999636 -.0083479  .0017421
T  436  9 .5663683E+08   4561630E+02  .4881E+06 -.1833E+07   .9999649 -.0020320 -.0081235
T  437  9 .5650608E+08   4561630E+02  .1600E+07 -.1416E+07   .9999811  .0052331 -.0032419
T  438  9 .5649910E+08   4561630E+02 -.7793E+05 -.1163E+07   .9999977  .0010381 -.0018758
T  439  9 .5653392E+08   4561630E+02  .8058E+05 -.2008E+07   .9998323  .0047112 -.0176965
T  440  9 .5647320E+08   4561631E+02  .8311E+06 -.2238E+07   .9999858 -.0002786 -.0053173
T  441  9 .5650077E+08   4561631E+02  .1353E+07  .2533E+07   .9999730  .0044877  .0058114
T  442  9 .5649908E+08   4561630E+02 -.3677E+07 -.3481E+07   .9999616 -.0068671 -.0054532
T  443  9 .5660472E+08   4561630E+02 -.7426E+07 -.4062E+07   .9997308 -.0199405 -.0118640
T  444  9 .5639537E+08   4561630E+02 -.1490E+07 -.1211E+07   .9999058 -.0106096  .0087049
T  445  9 .5641046E+08   4561631E+02 -.4386E+07  .1027E+07   .9996031 -.0264764  .0096211
T  446  9 .5629822E+08   4561631E+02  .2046E+07  .2047E+07   .9999855  .0040340  .0035812
T  447  9 .5670426E+08   4561630E+02 -.5218E+06  .1602E+07   .9999992 -.0011095  .0006503
T  448  9 .5682355E+08   4561630E+02 -.2967E+07  .1147E+07   .9999943 -.0028908  .0017642
T  449  9 .5651736E+08   4561631E+02  .3686E+07 -.2932E+07   .9998097  .0152051 -.0122241
T  450  9 .5638399E+08   4561631E+02  .1288E+07 -.2179E+07   .9999800  .0030979 -.0055178
T  451  9 .5647822E+08   4561631E+02  .2629E+06 -.1043E+07   .9999938 -.0016015 -.0031485
T  452  9 .5627569E+08   4561630E+02  .2155E+06  .4926E+06   .9999973  .0011451  .0020147
T  453  9 .5703035E+08   4561630E+02 -.3389E+06 -.3136E+06   .9999973 -.0023100  .0001737
T  454  9 .5653165E+08   4561630E+02  .3550E+06  .9497E+06   .9999925  .0022066  .0031769
T  455  9 .5670981E+08   4561631E+02  .2114E+07 -.1209E+07   .9999847  .0021188  .0051011
T  456  9 .5641277E+08   4561630E+02 -.1239E+07  .1175E+07   .9999762 -.0025761  .0063978
T  457  9 .5676742E+08   4561630E+02 -.5257E+06  .5693E+06   .9999950 -.0022528 -.0022327
T  458  9 .5645567E+08   4561630E+02 -.7766E+06  .2569E+06   .9999948 -.0020041  .0025279
T  459  9 .5665888E+08   4561631E+02  .1752E+07 -.1435E+07   .9999912  .0022359 -.0035433
T  460  9 .5665424E+08   4561630E+02 -.1963E+06 -.4593E+07   .9999474  .0009209 -.0102200
T  461  9 .5641767E+08   4561630E+02  .7343E+06 -.3504E+06   .9999940  .0032710 -.0011556
T  462  9 .5651464E+08   4561631E+02  .2260E+07 -.2815E+07   .9999067  .0076160 -.0113378
T  463  9 .5646051E+08   4561630E+02 -.5553E+06 -.2358E+07   .9999941 -.0007407 -.0033674
T  464  9 .5643719E+08   4561630E+02  .2031E+07  .2262E+07   .9999928  .0030484  .0022718
T  465  9 .5644752E+08   4561630E+02 -.7069E+06  .7363E+06   .9999867  .0028365  .0043075
T  466  9 .5643392E+08   4561631E+02 -.1806E+07  .2040E+07   .9996030  .0119002  .0255395
T  467  9 .5644540E+08   4561630E+02 -.2052E+07  .2363E+07   .9999436 -.0079020  .0070946
T  468  9 .5643876E+08   4561630E+02 -.3293E+06 -.2369E+07   .9999915 -.0009944 -.0039991
T  469  9 .5667875E+08   4561630E+02 -.1617E+07  .6673E+05   .9999925 -.0036676 -.0012689
T  470  9 .5670658E+08   4561630E+02 -.1979E+07  .3468E+07   .9999272 -.0046975  .0111106
T  471  9 .5643847E+08   4561631E+02 -.1401E+07  .7332E+06   .9999588 -.0042739  .0080118
T  472  9 .5684870E+08   4561631E+02 -.2923E+07 -.3898E+07   .9998811 -.0090975 -.0124515
T  473  9 .5662839E+08   4561630E+02  .7071E+06 -.1792E+07   .9999438  .0014478 -.0104986
T  474  9 .5643457E+08   4561630E+02 -.6539E+06 -.1431E+07   .9999839 -.0020145 -.0053068
T  475  9 .5639049E+08   4561631E+02 -.1896E+07  .1163E+07   .9999840 -.0055482  .0010633
T  476  9 .5658749E+08   4561630E+02  .4289E+06 -.2866E+07   .9999605 -.0014223 -.0087757
T  477  9 .5649822E+08   4561631E+02  .5070E+07  .2105E+07   .9999481  .0091956  .0043806
T  478  9 .5686388E+08   4561631E+02 -.1244E+07 -.4380E+07   .9998997 -.0049321 -.0132731
T  479  9 .5642562E+08   4561630E+02 -.3905E+07 -.1478E+07   .9999819 -.0057129  .0019095
T  480  9 .5639907E+08   4561630E+02  .1954E+07  .2866E+07   .9999834  .0042634  .0038875
T  481  9 .5657378E+08   4561630E+02 -.3366E+07  .7720E+06   .9998967 -.0142863  .0015480
