 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17F_CF4_70mbar.txt

 Ion = Fluorine [9] , Mass = 17 amu

 Target Density =  2.5000E-04 g/cm3 = 8.5537E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   2.164E-01  1.097E-03   27.47 mm     1.98 mm     2.61 mm  
   3.25 MeV   2.236E-01  1.028E-03   28.59 mm     2.00 mm     2.64 mm  
   3.50 MeV   2.298E-01  9.678E-04   29.68 mm     2.01 mm     2.66 mm  
   3.75 MeV   2.350E-01  9.148E-04   30.75 mm     2.03 mm     2.68 mm  
   4.00 MeV   2.394E-01  8.677E-04   31.80 mm     2.04 mm     2.70 mm  
   4.50 MeV   2.460E-01  7.877E-04   33.84 mm     2.07 mm     2.74 mm  
   5.00 MeV   2.504E-01  7.222E-04   35.84 mm     2.10 mm     2.78 mm  
   5.50 MeV   2.532E-01  6.674E-04   37.82 mm     2.12 mm     2.81 mm  
   6.00 MeV   2.547E-01  6.209E-04   39.78 mm     2.15 mm     2.83 mm  
   6.50 MeV   2.553E-01  5.808E-04   41.73 mm     2.17 mm     2.86 mm  
   7.00 MeV   2.553E-01  5.460E-04   43.68 mm     2.20 mm     2.88 mm  
   8.00 MeV   2.539E-01  4.882E-04   47.59 mm     2.28 mm     2.93 mm  
   9.00 MeV   2.514E-01  4.421E-04   51.54 mm     2.36 mm     2.97 mm  
  10.00 MeV   2.484E-01  4.045E-04   55.53 mm     2.44 mm     3.01 mm  
  11.00 MeV   2.452E-01  3.731E-04   59.57 mm     2.51 mm     3.05 mm  
  12.00 MeV   2.418E-01  3.466E-04   63.67 mm     2.59 mm     3.09 mm  
  13.00 MeV   2.385E-01  3.238E-04   67.82 mm     2.66 mm     3.12 mm  
  14.00 MeV   2.352E-01  3.040E-04   72.04 mm     2.74 mm     3.16 mm  
  15.00 MeV   2.320E-01  2.866E-04   76.31 mm     2.81 mm     3.19 mm  
  16.00 MeV   2.289E-01  2.712E-04   80.64 mm     2.89 mm     3.23 mm  
