 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17F_mylar.txt

 Ion = Fluorine [9] , Mass = 17 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   1.789E+03  4.078E+00    5.58 um     2177 A      2701 A   
   7.00 MeV   1.792E+03  3.833E+00    5.86 um     2220 A      2731 A   
   8.00 MeV   1.788E+03  3.425E+00    6.41 um     2369 A      2786 A   
   9.00 MeV   1.774E+03  3.101E+00    6.97 um     2510 A      2838 A   
  10.00 MeV   1.753E+03  2.836E+00    7.54 um     2646 A      2887 A   
  11.00 MeV   1.728E+03  2.616E+00    8.11 um     2778 A      2934 A   
  12.00 MeV   1.701E+03  2.429E+00    8.69 um     2907 A      2980 A   
  13.00 MeV   1.673E+03  2.269E+00    9.29 um     3034 A      3024 A   
  14.00 MeV   1.645E+03  2.129E+00    9.89 um     3161 A      3069 A   
  15.00 MeV   1.617E+03  2.007E+00   10.50 um     3286 A      3112 A   
  16.00 MeV   1.589E+03  1.899E+00   11.12 um     3411 A      3156 A   
  17.00 MeV   1.562E+03  1.803E+00   11.76 um     3536 A      3199 A   
  18.00 MeV   1.536E+03  1.716E+00   12.40 um     3660 A      3243 A   
  20.00 MeV   1.487E+03  1.567E+00   13.72 um     4125 A      3330 A   
  22.50 MeV   1.431E+03  1.415E+00   15.44 um     4801 A      3441 A   
  25.00 MeV   1.379E+03  1.292E+00   17.21 um     5436 A      3554 A   
  27.50 MeV   1.333E+03  1.189E+00   19.05 um     6044 A      3670 A   
  30.00 MeV   1.290E+03  1.103E+00   20.96 um     6633 A      3789 A   
  32.50 MeV   1.250E+03  1.028E+00   22.93 um     7208 A      3912 A   
