 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\20Mg_iC4H10_6mbar.txt

 Ion = Magnesium [12] , Mass = 20 amu

 Target Density =  1.4000E-05 g/cm3 = 2.0308E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.50 MeV   2.202E-02  2.322E-04  215.91 mm    11.72 mm    14.94 mm  
   2.75 MeV   2.348E-02  2.153E-04  226.75 mm    11.89 mm    15.17 mm  
   3.00 MeV   2.486E-02  2.009E-04  236.97 mm    12.04 mm    15.38 mm  
   3.25 MeV   2.614E-02  1.884E-04  246.68 mm    12.17 mm    15.56 mm  
   3.50 MeV   2.731E-02  1.775E-04  255.94 mm    12.29 mm    15.72 mm  
   3.75 MeV   2.839E-02  1.679E-04  264.84 mm    12.39 mm    15.87 mm  
   4.00 MeV   2.938E-02  1.594E-04  273.43 mm    12.49 mm    16.00 mm  
   4.50 MeV   3.109E-02  1.449E-04  289.84 mm    12.76 mm    16.23 mm  
   5.00 MeV   3.250E-02  1.329E-04  305.47 mm    13.00 mm    16.43 mm  
   5.50 MeV   3.363E-02  1.230E-04  320.51 mm    13.22 mm    16.61 mm  
   6.00 MeV   3.454E-02  1.145E-04  335.11 mm    13.42 mm    16.76 mm  
   6.50 MeV   3.527E-02  1.072E-04  349.37 mm    13.60 mm    16.90 mm  
   7.00 MeV   3.584E-02  1.008E-04  363.37 mm    13.78 mm    17.03 mm  
   8.00 MeV   3.661E-02  9.023E-05  390.88 mm    14.37 mm    17.27 mm  
   9.00 MeV   3.702E-02  8.179E-05  417.95 mm    14.92 mm    17.47 mm  
  10.00 MeV   3.717E-02  7.489E-05  444.84 mm    15.43 mm    17.66 mm  
  11.00 MeV   3.713E-02  6.913E-05  471.69 mm    15.93 mm    17.83 mm  
  12.00 MeV   3.697E-02  6.425E-05  498.61 mm    16.42 mm    18.00 mm  
  13.00 MeV   3.671E-02  6.006E-05  525.70 mm    16.89 mm    18.15 mm  
  14.00 MeV   3.637E-02  5.641E-05  553.02 mm    17.36 mm    18.30 mm  
  15.00 MeV   3.599E-02  5.320E-05  580.61 mm    17.82 mm    18.45 mm  
  16.00 MeV   3.557E-02  5.037E-05  608.51 mm    18.28 mm    18.59 mm  
  17.00 MeV   3.512E-02  4.784E-05  636.76 mm    18.74 mm    18.73 mm  
  18.00 MeV   3.465E-02  4.556E-05  665.38 mm    19.20 mm    18.86 mm  
  20.00 MeV   3.369E-02  4.165E-05  723.84 mm    20.95 mm    19.13 mm  
  22.50 MeV   3.247E-02  3.765E-05  799.34 mm    23.57 mm    19.46 mm  
  25.00 MeV   3.127E-02  3.440E-05  877.71 mm    26.10 mm    19.79 mm  
  27.50 MeV   3.012E-02  3.169E-05  959.08 mm    28.57 mm    20.13 mm  
  30.00 MeV   2.903E-02  2.940E-05    1.04 m     31.02 mm    20.47 mm  
  32.50 MeV   2.800E-02  2.743E-05    1.13 m     33.45 mm    20.82 mm  
  35.00 MeV   2.704E-02  2.573E-05    1.22 m     35.87 mm    21.18 mm  
  37.50 MeV   2.613E-02  2.424E-05    1.32 m     38.30 mm    21.55 mm  
  40.00 MeV   2.528E-02  2.292E-05    1.41 m     40.74 mm    21.94 mm  
  45.00 MeV   2.382E-02  2.069E-05    1.62 m     49.98 mm    22.75 mm  
  50.00 MeV   2.235E-02  1.887E-05    1.83 m     58.70 mm    23.63 mm  
  55.00 MeV   2.125E-02  1.737E-05    2.06 m     67.14 mm    24.57 mm  
  60.00 MeV   2.027E-02  1.609E-05    2.30 m     75.36 mm    25.57 mm  
  65.00 MeV   1.940E-02  1.500E-05    2.56 m     83.44 mm    26.64 mm  
  70.00 MeV   1.861E-02  1.406E-05    2.82 m     91.43 mm    27.77 mm  
  80.00 MeV   1.725E-02  1.250E-05    3.38 m    120.92 mm    30.21 mm  
