============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(76.5 MeV) ==> Mylar_IC+Carbon Tetraflu( 36.0 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  176  8 .6448746E+08   3601150E+02  .1484E+07  .1690E+06   .9999874  .0049922  .0005529
T  177  8 .6444027E+08   3601150E+02 -.6196E+06  .1130E+07   .9999876 -.0017822  .0046457
T  178  8 .6448974E+08   3601150E+02 -.8341E+05  .5176E+05   .9999996  .0005283 -.0007267
T  179  8 .6466416E+08   3601150E+02 -.1983E+06  .8029E+06   .9999952 -.0016991  .0025900
T  180  8 .6470280E+08   3601150E+02  .2056E+06  .2648E+06   .9999993  .0011074  .0002780
T  181  8 .6461126E+08   3601150E+02  .1113E+07 -.7894E+06   .9999638  .0065252 -.0054529
T  182  8 .6440591E+08   3601150E+02 -.3210E+06 -.5811E+06   .9999976 -.0017921 -.0012230
T  183  8 .6463677E+08   3601150E+02  .2549E+07 -.5890E+06   .9999507  .0099185  .0003691
T  184  8 .6477275E+08   3601150E+02  .8926E+06 -.1439E+07   .9999832  .0007617 -.0057416
T  185  8 .6442880E+08   3601150E+02  .1784E+06  .6200E+06   .9999999  .0003579 -.0003177
T  186  8 .6448244E+08   3601150E+02 -.4810E+06 -.1783E+07   .9999868 -.0007038 -.0050959
T  187  8 .6466366E+08   3601150E+02 -.9574E+06 -.6067E+06   .9999758 -.0064915 -.0024820
T  188  8 .6438767E+08   3601150E+02  .2051E+07  .8813E+06   .9999628  .0073720  .0044777
T  189  8 .6453670E+08   3601150E+02 -.2034E+07 -.2649E+07   .9999573 -.0055883 -.0073655
T  190  8 .6464158E+08   3601150E+02 -.1830E+06  .4071E+06   .9999955 -.0009524  .0028466
T  191  8 .6464925E+08   3601150E+02  .1213E+07 -.1377E+06   .9999660  .0081194 -.0014554
T  192  8 .6455671E+08   3601150E+02  .7048E+05  .1876E+07   .9999754 -.0047255  .0051764
T  193  8 .6459950E+08   3601150E+02  .3818E+06  .7137E+06   .9999842  .0046057  .0032279
T  194  8 .6456725E+08   3601150E+02  .6723E+06 -.5251E+05   .9999873 -.0049412 -.0010107
T  195  8 .6464589E+08   3601150E+02  .4236E+07 -.2014E+06   .9998629  .0165543  .0002088
T  196  8 .6469143E+08   3601150E+02 -.2161E+05 -.1452E+07   .9999919 -.0006721 -.0039672
T  197  8 .6467159E+08   3601150E+02  .1097E+07 -.1122E+07   .9999733  .0055756 -.0047209
T  198  8 .6454141E+08   3601150E+02  .1145E+06  .8588E+06   .9999981  .0017533  .0008198
T  199  8 .6431529E+08   3601150E+02 -.3881E+05 -.1487E+06   .9999976  .0019407 -.0010093
T  200  8 .6449040E+08   3601150E+02 -.1526E+07  .6909E+06   .9999746 -.0069994  .0013563
T  201  8 .6455267E+08   3601150E+02  .7290E+05 -.3403E+06   .9999995  .0005320 -.0008445
T  202  8 .6456710E+08   3601150E+02  .4727E+06 -.1240E+07   .9999864  .0012380 -.0050644
T  203  8 .6451390E+08   3601150E+02 -.4873E+05 -.2776E+07   .9999304 -.0010571 -.0117547
T  204  8 .6447422E+08   3601150E+02 -.4774E+06 -.2088E+07   .9999803 -.0027362 -.0056453
T  205  8 .6452824E+08   3601150E+02  .1165E+07  .5620E+06   .9999870  .0048287  .0016667
T  206  8 .6468414E+08   3601150E+02 -.2106E+06 -.1269E+07   .9999908 -.0025672 -.0034426
T  207  8 .6433051E+08   3601150E+02 -.6243E+06 -.8620E+06   .9999933 -.0027796 -.0023735
T  208  8 .6445869E+08   3601150E+02 -.4210E+06 -.4881E+06   .9999998  .0006115  .0001772
T  209  8 .6439948E+08   3601150E+02  .7443E+06 -.2299E+07   .9999513  .0017703 -.0097120
T  210  8 .6468612E+08   3601150E+02 -.1921E+06  .7263E+06   .9999960 -.0026126  .0010468
T  211  8 .6459996E+08   3601150E+02 -.8713E+06 -.2007E+06   .9999977 -.0009888 -.0018864
T  212  8 .6449626E+08   3601150E+02  .7620E+06  .1083E+07   .9999729  .0031017  .0066767
T  213  8 .6469011E+08   3601150E+02  .4441E+06 -.2902E+06   .9999999  .0001170  .0001373
T  214  8 .6460913E+08   3601150E+02  .7886E+06 -.9221E+06   .9999949  .0030423 -.0009391
T  215  8 .6450769E+08   3601150E+02 -.9652E+06  .3030E+05   .9999938 -.0027682 -.0021790
T  216  8 .6446673E+08   3601150E+02  .2972E+07 -.3242E+06   .9999657  .0081509 -.0014865
T  217  8 .6458389E+08   3601150E+02 -.9881E+06 -.1154E+07   .9999915 -.0028632 -.0029702
T  218  8 .6455743E+08   3601150E+02 -.1910E+07 -.1878E+07   .9999681 -.0054992 -.0057902
T  219  8 .6460190E+08   3601150E+02  .7691E+06  .6902E+06   .9999945  .0018519  .0027633
T  220  8 .6453447E+08   3601150E+02  .6592E+06 -.1294E+07   .9999647  .0043490 -.0071938
T  221  8 .6439126E+08   3601150E+02  .2249E+07 -.1600E+07   .9999720  .0041026 -.0062639
T  222  8 .6436733E+08   3601150E+02  .2298E+06 -.2673E+06   .9999989  .0007988 -.0012465
T  223  8 .6454718E+08   3601150E+02 -.1398E+07  .1859E+07   .9999754 -.0043064  .0055318
T  224  8 .6442888E+08   3601150E+02 -.5608E+06  .1138E+07   .9999874 -.0007530  .0049550
T  225  8 .6456332E+08   3601150E+02 -.1475E+07  .1064E+07   .9999737 -.0059961  .0040813
T  226  8 .6448622E+08   3601150E+02 -.8147E+06  .2712E+06   .9999891 -.0036061  .0029564
T  227  8 .6445725E+08   3601150E+02 -.1097E+07 -.2229E+06   .9999942 -.0027147 -.0020803
T  228  8 .6468263E+08   3601150E+02 -.1079E+07  .8408E+06   .9999951 -.0025621  .0017964
T  229  8 .6453908E+08   3601150E+02  .7221E+06  .7993E+06   .9999933  .0029746  .0021261
T  230  8 .6461467E+08   3601150E+02  .6332E+06  .3567E+05   .9999979  .0016659 -.0012228
T  231  8 .6448758E+08   3601150E+02 -.1951E+07 -.5292E+06   .9999778 -.0066382 -.0006051
T  232  8 .6440753E+08   3601150E+02  .5070E+06  .8234E+06   .9999979  .0005290  .0019950
T  233  8 .6447540E+08   3601150E+02 -.8102E+06  .2134E+06   .9999973 -.0023222 -.0000693
T  234  8 .6456043E+08   3601150E+02  .1739E+07 -.3030E+05   .9999788  .0062369 -.0018726
T  235  8 .6457502E+08   3601150E+02 -.2416E+07 -.2270E+07   .9999800 -.0011590 -.0062155
T  236  8 .6435184E+08   3601150E+02  .1611E+07 -.4834E+06   .9999888  .0046508 -.0008537
T  237  8 .6456939E+08   3601150E+02  .4723E+06 -.4733E+06   .9999988  .0000359 -.0015766
T  238  8 .6445115E+08   3601150E+02  .3139E+07  .6525E+06   .9999688  .0075335  .0023942
T  239  8 .6432561E+08   3601150E+02  .1071E+07 -.2343E+06   .9999892  .0040234 -.0023375
T  240  8 .6480350E+08   3601150E+02 -.5027E+05  .1816E+07   .9999692 -.0003002  .0078390
T  241  8 .6454671E+08   3601150E+02  .1311E+07 -.9941E+06   .9999811  .0046602 -.0040083
T  242  8 .6469768E+08   3601150E+02  .2535E+06 -.1076E+07   .9999948 -.0014785 -.0028496
T  243  8 .6466214E+08   3601150E+02 -.1595E+07  .5513E+05   .9999938 -.0019253  .0029499
T  244  8 .6457797E+08   3601150E+02 -.6105E+06  .2299E+05   .9999922 -.0016799 -.0035712
T  245  8 .6450675E+08   3601150E+02 -.1540E+07  .6611E+06   .9999866 -.0046390  .0023077
T  246  8 .6460315E+08   3601150E+02 -.2685E+06  .3565E+06   .9999947 -.0011180  .0030533
T  247  8 .6456411E+08   3601150E+02 -.8029E+06 -.3398E+06   .9999912 -.0037822 -.0018333
T  248  8 .6437060E+08   3601150E+02 -.1352E+06  .7333E+06   .9999989 -.0006116  .0013444
T  249  8 .6459602E+08   3601150E+02 -.7568E+06  .1239E+06   .9999997 -.0003990  .0007124
T  250  8 .6453473E+08   3601150E+02  .2614E+07  .2358E+06   .9999820  .0059490 -.0007347
T  251  8 .6448863E+08   3601150E+02  .1536E+07  .1355E+06   .9999962  .0023723  .0014161
T  252  8 .6435728E+08   3601150E+02 -.1995E+07 -.2542E+07   .9999424 -.0079971 -.0071537
T  253  8 .6461341E+08   3601150E+02 -.3745E+07  .7498E+06   .9999459 -.0103163  .0013348
T  254  8 .6456753E+08   3601150E+02  .2162E+06  .3284E+07   .9999616  .0010070  .0087061
T  255  8 .6459226E+08   3601150E+02  .5798E+06 -.1597E+07   .9999799  .0019155 -.0060483
T  256  8 .6461525E+08   3601150E+02 -.2591E+07 -.1570E+06   .9999822 -.0059531  .0003120
T  257  8 .6465446E+08   3601150E+02 -.8258E+06  .2181E+07   .9999697 -.0036275  .0068862
T  258  8 .6478164E+08   3601150E+02  .1823E+07  .5904E+06   .9999709  .0066608  .0037101
T  259  8 .6444136E+08   3601150E+02  .3456E+06 -.8031E+06   .9999970  .0020086 -.0013870
T  260  8 .6450774E+08   3601150E+02 -.9277E+06 -.2458E+07   .9999501 -.0025661 -.0096584
T  261  8 .6455568E+08   3601150E+02 -.4032E+06 -.1663E+07   .9999861 -.0028237 -.0044586
T  262  8 .6430827E+08   3601150E+02  .4430E+06  .2565E+06   .9999955  .0021866  .0020325
T  263  8 .6472251E+08   3601150E+02  .3751E+05 -.4846E+06   .9999998 -.0003960 -.0004052
T  264  8 .6444193E+08   3601150E+02 -.1744E+06 -.2966E+06   .9999998  .0002463  .0006417
T  265  8 .6474060E+08   3601150E+02 -.7131E+06  .2898E+06   .9999969 -.0021464  .0012434
T  266  8 .6461469E+08   3601150E+02  .9940E+05 -.2122E+06   .9999984 -.0006472 -.0016945
T  267  8 .6469901E+08   3601150E+02  .1675E+07  .1666E+07   .9999759  .0043556  .0054122
T  268  8 .6439435E+08   3601150E+02 -.9348E+06  .1087E+06   .9999935 -.0034981 -.0008211
T  269  8 .6466278E+08   3601150E+02 -.2816E+07  .6552E+06   .9999610 -.0088265  .0003563
T  270  8 .6455127E+08   3601150E+02 -.6666E+06  .1734E+07   .9999765 -.0011303  .0067606
T  271  8 .6462811E+08   3601150E+02  .7603E+06  .6248E+06   .9999950  .0015674  .0027358
T  272  8 .6451555E+08   3601150E+02 -.1219E+07  .4192E+06   .9999855 -.0053533  .0006521
T  273  8 .6428788E+08   3601150E+02 -.2256E+07  .9402E+05   .9999692 -.0078359  .0004480
T  274  8 .6459897E+08   3601150E+02 -.1310E+08 -.2727E+07   .9992769 -.0371709 -.0080003
T  275  8 .6449606E+08   3601150E+02  .1606E+07 -.8247E+06   .9999891  .0045483 -.0010689
T  276  8 .6464760E+08   3601150E+02  .1294E+07 -.4347E+07   .9999256  .0028652 -.0118553
T  277  8 .6445675E+08   3601150E+02  .2308E+07 -.4116E+06   .9999842  .0050977 -.0023530
T  278  8 .6438859E+08   3601150E+02  .1011E+07  .2869E+06   .9999832  .0052252  .0024982
T  279  8 .6469938E+08   3601150E+02  .1547E+07 -.3981E+06   .9999926  .0028963 -.0025444
T  280  8 .6441317E+08   3601150E+02 -.1565E+06  .2539E+06   .9999999 -.0003122  .0000690
T  281  8 .6432337E+08   3601150E+02 -.1147E+06  .1098E+07   .9999950 -.0009771  .0029978
T  282  8 .6454209E+08   3601150E+02 -.1536E+06  .8543E+05   .9999977 -.0021027 -.0003477
T  283  8 .6431129E+08   3601150E+02 -.1812E+06  .6187E+06   .9999921 -.0019743  .0034595
T  284  8 .6458188E+08   3601150E+02  .1145E+06  .1297E+07   .9999901 -.0007406  .0043893
T  285  8 .6447705E+08   3601150E+02  .3885E+07  .5128E+07   .9998450  .0077993  .0157820
T  286  8 .6449075E+08   3601150E+02  .1529E+07 -.8402E+05   .9999923  .0036971  .0013155
T  287  8 .6450728E+08   3601150E+02 -.8014E+06  .1351E+07   .9999459 -.0043998  .0094296
T  288  8 .6477290E+08   3601150E+02  .2631E+06 -.1103E+07   .9999910  .0003360 -.0042321
T  289  8 .6463493E+08   3601150E+02 -.8933E+06 -.3405E+05   .9999897 -.0044329 -.0009999
T  290  8 .6432514E+08   3601150E+02 -.9846E+06 -.1305E+07   .9999941 -.0026296 -.0022004
T  291  8 .6450644E+08   3601150E+02 -.9004E+06 -.8373E+06   .9999772 -.0066173 -.0013345
T  292  8 .6455893E+08   3601150E+02  .4625E+06 -.7006E+06   .9999962  .0017370 -.0021252
T  293  8 .6454875E+08   3601150E+02 -.1203E+07 -.3086E+07   .9999568 -.0040573 -.0083665
T  294  8 .6456192E+08   3601150E+02 -.3626E+06  .1064E+07   .9999939 -.0020466  .0028403
T  295  8 .6465267E+08   3601150E+02  .3922E+06 -.1828E+06   .9999981  .0001341 -.0019225
T  296  8 .6460256E+08   3601150E+02  .1046E+07 -.1596E+07   .9999802  .0030863 -.0054789
