! IC_gas_CF4 -> Energy
! 20Na (6 MeV/u);    Settings on 20Na;   Config: mm
! dp/p=100.00%
Energy (MeV/u)	20Na[beam]
5.10634	-
5.10731	-
5.10828	-
5.10925	-
5.11022	-
5.11118	-
5.11215	-
5.11312	-
5.11409	-
5.11506	-
5.11603	-
5.117	8.66318e+08
5.11797	2.02297e+09
5.11893	5.57035e+09
5.1199	1.03131e+10
5.12087	2.35506e+10
5.12184	4.34735e+10
5.12281	7.67674e+10
5.12378	1.39335e+11
5.12475	2.1654e+11
5.12572	3.83441e+11
5.12668	6.07583e+11
5.12765	9.46207e+11
5.12862	1.49136e+12
5.12959	2.13977e+12
5.13056	3.30538e+12
5.13153	4.75524e+12
5.1325	6.77361e+12
5.13346	9.65246e+12
5.13443	1.29616e+13
5.1354	1.8151e+13
5.13637	2.42161e+13
5.13734	3.20324e+13
5.13831	4.22044e+13
5.13928	5.35542e+13
5.14025	6.94956e+13
5.14121	8.73633e+13
5.14218	1.09084e+14
5.14315	1.35488e+14
5.14412	1.64234e+14
5.14509	2.01331e+14
5.14606	2.41589e+14
5.14703	2.88169e+14
5.148	3.4166e+14
5.14896	3.98606e+14
5.14993	4.66344e+14
5.1509	5.37605e+14
5.15187	6.15911e+14
5.15284	7.00566e+14
5.15381	7.88396e+14
5.15478	8.83774e+14
5.15575	9.80687e+14
5.15671	1.08067e+15
5.15768	1.18119e+15
5.15865	1.28199e+15
5.15962	1.37908e+15
5.16059	1.47333e+15
5.16156	1.56186e+15
5.16253	1.64146e+15
5.1635	1.71659e+15
5.16446	1.77392e+15
5.16543	1.82416e+15
5.1664	1.86018e+15
5.16737	1.88049e+15
5.16834	1.89293e+15
5.16931	1.88099e+15
5.17028	1.86117e+15
5.17124	1.82559e+15
5.17221	1.77575e+15
5.17318	1.71878e+15
5.17415	1.6439e+15
5.17512	1.5645e+15
5.17609	1.47608e+15
5.17706	1.38188e+15
5.17803	1.28477e+15
5.17899	1.18388e+15
5.17996	1.08323e+15
5.18093	9.83073e+14
5.1819	8.85958e+14
5.18287	7.90364e+14
5.18384	7.02305e+14
5.18481	6.17425e+14
5.18578	5.389e+14 
5.18674	4.67436e+14
5.18771	3.99503e+14
5.18868	3.42394e+14
5.18965	2.88752e+14
5.19062	2.42045e+14
5.19159	2.01682e+14
5.19256	1.64491e+14
5.19353	1.3568e+14
5.19449	1.09218e+14
5.19546	8.74555e+13
5.19643	6.95569e+13
5.1974	5.35901e+13
5.19837	4.22265e+13
5.19934	3.20432e+13
5.20031	2.42203e+13
5.20127	1.81514e+13
5.20224	1.29595e+13
5.20321	9.64995e+12
5.20418	6.77089e+12
5.20515	4.75284e+12
5.20612	3.30342e+12
5.20709	2.13831e+12
5.20806	1.49029e+12
5.20902	9.4549e+11
5.20999	6.07103e+11
5.21096	3.83129e+11
5.21193	2.16361e+11
5.2129	1.39221e+11
5.21387	7.6705e+10
5.21484	4.34391e+10
5.21581	2.35326e+10
5.21677	1.03057e+10
5.21774	5.56648e+09
5.21871	2.02169e+09
5.21968	8.65863e+08
5.22065	-
5.22162	-
5.22259	-
5.22356	-
5.22452	-
5.22549	-
5.22646	-
5.22743	-
5.2284	-
5.22937	-
