Sil_r0_0_E 0.04708757 0.00127478
Sil_r0_0_P 125.63817915 23.98611963
Sil_r0_1_E 0.10426391 0.00120624
Sil_r0_1_P 127.71128337 24.05048523
Sil_r0_2_E 0.04432333 0.00121794
Sil_r0_2_P 125.02233187 22.53906901
Sil_r0_3_E -0.02278423 0.00133320
Sil_r0_3_P 144.80863488 21.73235703
Sil_r0_4_E 0.09919986 0.00122293
Sil_r0_4_P 141.53264930 22.39194425
Sil_r0_5_E 0.04099376 0.00127771
Sil_r0_5_P 118.64069989 10.75486984
Sil_r0_6_E -0.19146822 0.00117150
Sil_r0_6_P 275.06312033 23.48483180
Sil_r0_7_E -0.08131572 0.00136903
Sil_r0_7_P 263.01647720 29.60325952
Sil_r0_8_E -0.17199150 0.00134198
Sil_r0_8_P 274.19490960 20.28371665
Sil_r0_9_E -0.15072048 0.00109778
Sil_r0_9_P 273.96930470 26.95550029
Sil_r0_10_E 0.00000000 0.00000000
Sil_r0_10_P 20000 0
Sil_r0_11_E -0.14434799 0.00122512
Sil_r0_11_P 259.07479634 22.93663352
