Sil_f0_0_E -0.04336198 0.00220552
Sil_f0_0_P 95.76427122 20.97667189
Sil_f0_1_E -0.07099524 0.00195959
Sil_f0_1_P 97.78121927 6.91925868
Sil_f0_2_E -0.07908842 0.00201730
Sil_f0_2_P 98.96965587 6.57107949
Sil_f0_3_E -0.06283375 0.00196478
Sil_f0_3_P 104.03763516 8.34226347
Sil_f0_4_E -0.09920631 0.00199982
Sil_f0_4_P 110.18482463 6.88200691
Sil_f0_5_E 0.00000000 0.00000000 
Sil_f0_5_P 20000 0 
Sil_f0_6_E -0.07756131 0.00195650
Sil_f0_6_P 104.50166531 9.74096675
Sil_f0_7_E 0.00000000 0.00000000 
Sil_f0_7_P 20000 0 
Sil_f0_8_E -0.05128009 0.00195350
Sil_f0_8_P 97.60194381 7.17405307
Sil_f0_9_E -0.05258144 0.00199542
Sil_f0_9_P 95.90299470 7.81670775
Sil_f0_10_E -0.08747024 0.00194001
Sil_f0_10_P 102.38671404 7.27047826
Sil_f0_11_E -0.12171766 0.00195279
Sil_f0_11_P 137.30670324 7.24477744
