Sil_l0_0_E 0.00000000 0.00000000 
Sil_l0_0_P 20000 0 
Sil_l0_1_E -0.08280009 0.00127291
Sil_l0_1_P 258.68746172 15.95318428
Sil_l0_2_E -0.10894681 0.00131392
Sil_l0_2_P 247.78924331 24.25900472
Sil_l0_3_E 0.00000000 0.00000000 
Sil_l0_3_P 20000 0 
Sil_l0_4_E -0.13009352 0.00130549
Sil_l0_4_P 243.72988588 19.31760669
Sil_l0_5_E -0.13008083 0.00124951
Sil_l0_5_P 265.24618106 24.95855432
Sil_l0_6_E -0.08945930 0.00128252
Sil_l0_6_P 260.52421862 22.60861542
Sil_l0_7_E 0.28640677 0.00128548
Sil_l0_7_P 192.58768610 27.46117678
Sil_l0_8_E -0.15637884 0.00135496
Sil_l0_8_P 269.49050913 21.37850954
Sil_l0_9_E 0.00000000 0.00000000 
Sil_l0_9_P 20000 0 
Sil_l0_10_E -0.19054942 0.00127270
Sil_l0_10_P 274.68009218 25.26292481
Sil_l0_11_E -0.17401435 0.00126549
Sil_l0_11_P 275.85215280 36.76073887
