Sil_f0_0_E 0.21351667 0.00207000
Sil_f0_0_P 95.59427565 29.02818826
Sil_f0_1_E -0.00725971 0.00193469
Sil_f0_1_P 97.35485145 7.42185049
Sil_f0_2_E -0.08883307 0.00201929
Sil_f0_2_P 98.85533710 7.02272304
Sil_f0_3_E -0.01968217 0.00194643
Sil_f0_3_P 103.37289525 8.59071043
Sil_f0_4_E -0.06653449 0.00199025
Sil_f0_4_P 109.29049259 7.33476548
Sil_f0_5_E 0.02554006 0.00194116
Sil_f0_5_P 102.33716651 7.78243110
Sil_f0_6_E -0.07642078 0.00195646
Sil_f0_6_P 103.88160627 7.67835189
Sil_f0_7_E -0.01689261 0.00199897
Sil_f0_7_P 96.63667131 7.74187087
Sil_f0_8_E -0.07881460 0.00196449
Sil_f0_8_P 96.97283545 7.49039009
Sil_f0_9_E -0.01760179 0.00198254
Sil_f0_9_P 94.19661380 8.23549450
Sil_f0_10_E -0.09926575 0.00194336
Sil_f0_10_P 101.35047204 7.68788319
Sil_f0_11_E -0.10979331 0.00194831
Sil_f0_11_P 136.17584353 7.74781582
